signal_time,entry_time,exit_time,direction,signal_type,entry_price,exit_price,gross_profit_bps,net_profit_bps,mfe_bps,mae_bps,exit_bar,exit_reason,is_reentry,config_hash
2026-02-11 06:00:00+00:00,2026-02-11 06:00:00+00:00,2026-02-11 06:30:00+00:00,LONG,BEAR_LONG,66883.00,67011.43,19.2,11.2,39.2,-32.4,2,TRAILING_STOP,False,874ffca20d4a
2026-02-13 11:00:00+00:00,2026-02-13 11:00:00+00:00,2026-02-13 11:30:00+00:00,SHORT,V12_SHORT,66850.00,66950.55,-15.0,-23.0,15.0,-21.6,2,TRAILING_STOP,False,874ffca20d4a
2026-02-15 12:45:00+00:00,2026-02-15 12:45:00+00:00,2026-02-15 13:15:00+00:00,LONG,V12_LONG,69284.90,69454.63,24.5,16.5,44.5,-44.0,2,TRAILING_STOP,False,874ffca20d4a
2026-02-16 09:30:00+00:00,2026-02-16 09:30:00+00:00,2026-02-16 11:15:00+00:00,SHORT,V12_SHORT,68989.60,68355.19,92.0,84.0,100.0,-3.4,7,TIGHT_TS,False,874ffca20d4a
