feature,quartile,train_long_win,train_long_avg,train_short_win,train_short_avg,oos_long_win,oos_long_avg,oos_short_win,oos_short_avg
atr_pct,Q4,66.03333333333333,22.35911666702003,63.7,27.181322658386673,60.333333333333336,11.747061711811805,54.900000000000006,12.07884921087902
atr_pct,Q1,44.0,-0.5169260280973068,48.833333333333336,2.855099781789261,44.9,0.1390518710077768,46.300000000000004,0.04321640612084796
atr7_pct,Q4,67.46666666666667,22.85794603116179,61.1,21.34574740109394,62.4,12.98279239658311,54.2,9.944812192711494
atr7_pct,Q1,43.06666666666666,0.7915607836743295,47.36666666666667,2.0657739152740255,43.13333333333333,-0.8951499930570935,46.6,-0.4373800579171096
atr21_pct,Q4,67.30000000000001,21.4680702698919,62.63333333333333,22.35943222334948,61.36666666666667,12.509263498922587,55.56666666666666,10.458779789514686
atr21_pct,Q1,43.6,0.51952007955497,48.46666666666667,1.4796249782505038,43.56666666666666,-0.6805065752204573,48.93333333333334,0.9095936605984524
std20,Q4,64.63333333333333,18.498496246263898,60.6,21.66262801083848,58.36666666666667,10.60062696488837,54.1,10.352471565247583
std20,Q1,44.43333333333334,1.4854447791585095,48.9,2.618411944278217,44.96666666666667,-0.146020699329582,47.266666666666666,1.4193619444118073
range_bps,Q4,65.4,20.26799525926597,59.93333333333334,17.44808537005404,59.86666666666667,13.115161950480836,55.2,8.37794984179114
range_bps,Q1,44.7,0.8482219087004707,48.13333333333333,2.548238839810147,43.166666666666664,-0.8862563841682881,48.06666666666667,0.6588814309916723
body_bps,Q4,62.133333333333326,18.139267232190353,58.833333333333336,16.783862362972297,57.86666666666667,10.567717457940946,53.0,8.184880131097687
body_bps,Q1,49.333333333333336,2.7908618388588002,51.233333333333334,6.783536902728356,47.66666666666667,1.5599803085516184,49.666666666666664,2.748319492575279
ema_separation,Q4,61.96666666666667,17.060547383560895,58.699999999999996,18.017452420237756,55.93333333333334,8.503735553109774,53.96666666666666,9.192801773897985
ema_separation,Q1,47.96666666666667,2.3732729585286596,50.73333333333333,4.768185678572274,48.56666666666667,2.3251146207838973,50.6,2.537887455000713
dist_from_high20_pct,Q4,65.96666666666667,15.948308589358053,58.03333333333334,23.302878934631853,57.49999999999999,8.588903031706318,53.7,9.89480074175143
dist_from_high20_pct,Q1,45.83333333333333,6.200177939706072,53.266666666666666,2.9646985614254286,47.16666666666667,2.5431623683067714,50.43333333333333,2.949436655737069
dist_from_low20_pct,Q4,59.9,16.690355194219727,59.099999999999994,13.927766087840828,55.233333333333334,8.366942441766167,54.300000000000004,8.471154898210106
dist_from_low20_pct,Q1,51.16666666666667,5.150175736835655,46.36666666666667,3.1948456186335257,50.13333333333333,1.2883746338594877,48.16666666666667,2.2955264550664505
ll_count5,Q4,58.766666666666666,10.45292211078865,52.43333333333333,10.890980424179569,54.1,6.369051327879217,48.733333333333334,3.4630741051295364
ll_count5,Q1,52.06666666666667,8.733834406012505,55.666666666666664,8.99338094376166,49.666666666666664,3.9457001788196853,51.1,5.725716368343671
day_of_week,Q4,52.400000000000006,6.77044301297129,51.43333333333333,7.630787189955106,49.6,3.6779147691359935,48.733333333333334,2.8044022156908066
day_of_week,Q1,53.93333333333333,10.703763685417352,55.46666666666666,10.431924032622764,53.53333333333333,6.984706391270919,51.46666666666667,5.3673754415914345
hh_count5,Q4,51.7,8.826359046436405,56.03333333333333,8.957698070753795,49.5,3.521365666188039,52.0,5.73171038895427
hh_count5,Q1,54.733333333333334,11.151186777055662,52.13333333333333,8.222381378296756,53.13333333333333,4.820767055040249,49.4,3.876984738917619
atr_percentile,Q4,60.46666666666667,14.101191893260324,55.833333333333336,12.816463531824377,57.8,8.323879997218775,55.333333333333336,9.225398379803122
atr_percentile,Q1,49.03333333333333,4.487282749102808,50.33333333333333,4.199978473855332,45.53333333333333,0.5223778454736121,46.36666666666667,0.8320856075361838
session,Q4,57.43333333333334,10.570445544850566,53.800000000000004,10.661650374575652,49.43333333333334,5.311443677468228,50.63333333333333,4.542427684304731
session,Q1,52.900000000000006,7.191701498565694,51.93333333333333,6.813960343674956,50.2,3.352611304403661,49.266666666666666,2.4506091771098197
hour_utc,Q4,57.3,9.770022202717701,54.166666666666664,10.226362920512472,50.53333333333333,4.1082692499538656,52.233333333333334,6.783872353813434
hour_utc,Q1,51.63333333333333,7.1719455413419615,51.53333333333333,6.438877820347016,49.06666666666666,1.5311680837555444,49.53333333333333,3.470944228679933
up_bars5,Q4,51.46666666666667,8.516107228681927,55.800000000000004,6.833969666786373,48.9,2.296305503291233,54.2,7.5421483347924365
up_bars5,Q1,56.266666666666666,10.792045304979855,52.33333333333333,9.322777111012327,52.96666666666666,5.018963048590743,49.1,3.457549957262655
down_bars5,Q4,58.53333333333334,11.724448055290141,52.56666666666666,11.383953985562718,52.93333333333333,6.228490433847334,49.766666666666666,5.208415989932918
down_bars5,Q1,53.233333333333334,6.803989849564765,54.233333333333334,10.017054496529045,50.7,4.189162326339126,51.233333333333334,5.042972418228126
volume_ratio,Q4,56.2,10.741954865541816,56.333333333333336,13.109643980132727,54.36666666666666,7.158980666770906,52.53333333333333,5.968189817925032
volume_ratio,Q1,54.666666666666664,7.634739719121184,53.300000000000004,11.113133584199833,50.76666666666667,3.112588160957867,48.6,3.4435107461193843
rsi,Q4,51.0,10.261562013538715,58.766666666666666,9.601963098745003,49.63333333333333,5.469066721365622,54.0,4.477768417735213
rsi,Q1,60.099999999999994,10.423741368966466,52.6,15.25879450795307,55.56666666666666,5.232849729237546,50.33333333333333,5.176460492135011
rsi7,Q4,52.03333333333333,7.47277130135864,56.89999999999999,10.258418187274977,49.833333333333336,3.5824957887578956,54.666666666666664,7.128595874307517
rsi7,Q1,58.599999999999994,10.962798041321388,52.63333333333333,10.582431138714858,52.03333333333333,4.761551817122438,50.2,5.921155089711402
rsi21,Q4,51.06666666666667,8.228797847793963,58.53333333333334,10.607435105381075,50.63333333333333,5.6476230920896535,53.900000000000006,4.9334516478829675
rsi21,Q1,61.7,14.339727635351025,52.6,12.606270344521496,54.900000000000006,4.464895562276187,51.366666666666674,9.233339750953109
roc5,Q4,55.900000000000006,11.183147946855517,58.46666666666667,13.742380183712768,52.56666666666666,6.947410532916422,53.400000000000006,7.104437783750929
roc5,Q1,62.56666666666667,12.050735287698107,55.2,13.45287953603261,56.56666666666666,7.01190768155361,51.63333333333333,8.555920884496194
roc10,Q4,55.50000000000001,11.697104673507985,60.266666666666666,12.983063086320113,52.33333333333333,6.015593413578885,54.333333333333336,5.802839828575964
roc10,Q1,63.56666666666667,16.811301951212513,55.06666666666666,11.329931785545496,55.56666666666666,5.967570973941833,51.4,7.83568787260536
roc20,Q4,55.36666666666667,13.847004429456936,58.93333333333334,12.986344781364805,52.733333333333334,8.006789581422593,54.6,4.45347863366475
roc20,Q1,63.733333333333334,14.644420908672112,53.2,10.946500721969484,56.3,6.715808641482373,51.93333333333333,8.057208480648159
momentum5,Q4,57.199999999999996,11.837521749903278,59.099999999999994,12.047719039900326,51.46666666666667,6.775364527776467,55.300000000000004,7.316517910071024
momentum5,Q1,62.63333333333333,14.736542282003787,54.36666666666666,12.003348513844939,55.666666666666664,5.461835750288074,50.4,6.219369914216544
momentum10,Q4,55.96666666666666,10.71036148208252,59.03333333333334,13.180457886823511,52.13333333333333,5.944895779243566,54.1,7.392211081812036
momentum10,Q1,63.6,14.507650220028964,55.63333333333333,17.045855019799102,56.13333333333333,6.609508671515451,53.36666666666666,8.394128729720993
ema9_dist_pct,Q4,55.13333333333333,11.708321208206742,58.699999999999996,11.410023772101754,52.800000000000004,7.109297730408941,54.53333333333333,4.499541418831024
ema9_dist_pct,Q1,64.46666666666667,17.97214883578735,53.93333333333333,9.951190447493705,56.43333333333334,7.545938904839231,51.43333333333333,6.798544110054552
ema20_dist_pct,Q4,55.93333333333334,14.941971180489789,60.06666666666667,11.194052829445853,53.300000000000004,9.030191800989613,53.96666666666666,4.546230859340776
ema20_dist_pct,Q1,63.23333333333333,13.225268612720969,55.300000000000004,13.790913387321071,56.43333333333334,7.650985173496122,52.26666666666666,8.595991880086808
ema50_dist_pct,Q4,56.00000000000001,11.809442631548144,59.56666666666667,13.906959080709974,51.0,5.432585142678416,54.300000000000004,6.259367738308943
ema50_dist_pct,Q1,63.5,15.158353538924093,54.166666666666664,16.201611058079553,55.46666666666666,5.827212262400612,53.53333333333333,9.640508817572535
ema100_dist_pct,Q4,56.99999999999999,11.800037874896361,56.43333333333334,9.879386577899913,52.300000000000004,7.209349589676941,53.13333333333333,5.098852022413277
ema100_dist_pct,Q1,60.3,12.321640192776991,57.49999999999999,17.83251747918378,57.099999999999994,5.716546116961427,52.900000000000006,9.256178561593766
ema200_dist_pct,Q4,58.36666666666667,12.203151041559444,56.266666666666666,10.128843398479784,53.333333333333336,7.1882955953418675,52.0,4.399567118875036
ema200_dist_pct,Q1,60.73333333333333,13.401904471047184,57.43333333333334,18.60365343205615,56.86666666666667,7.153286997052977,53.36666666666666,10.464957065049596
ema20_slope,Q4,56.06666666666666,9.714180316339679,58.666666666666664,13.500141879565577,53.400000000000006,7.531006926956554,54.333333333333336,5.968905682339749
ema20_slope,Q1,63.96666666666667,17.043448970334147,54.03333333333333,11.677222310929169,57.266666666666666,6.6111447296457,51.7,7.344519657998996
ema50_slope,Q4,57.53333333333334,12.905054705386881,57.599999999999994,10.220430431781137,53.46666666666666,7.191147965045807,51.800000000000004,4.378199144248806
ema50_slope,Q1,61.86666666666667,13.610465858208869,56.599999999999994,17.868906165916037,55.13333333333333,3.743215783537521,53.96666666666666,11.451437744723881
ema200_slope,Q4,58.86666666666667,16.008112478820443,56.666666666666664,10.281579216611588,52.5,7.709177172117867,52.1,3.4846502670425274
ema200_slope,Q1,60.93333333333333,15.02327123333377,56.99999999999999,15.612049656684071,55.233333333333334,6.880940193514967,53.46666666666666,8.05142247234341
bb_position,Q4,52.2,10.18005374325077,56.96666666666667,8.405900043450398,47.766666666666666,3.6095746685196555,53.733333333333334,5.7181610831148015
bb_position,Q1,59.56666666666667,10.3644852277064,52.900000000000006,12.238361629676287,53.833333333333336,5.0345831094228926,51.9,7.544487052825573
volume_trend,Q4,55.96666666666666,9.436716311031631,55.833333333333336,9.426881297350544,53.13333333333333,4.137945728662806,53.733333333333334,7.6972794801294135
volume_trend,Q1,53.900000000000006,9.81819624956748,52.03333333333333,7.044338248991133,51.2,3.391856168128779,49.96666666666666,4.760335179780627
range_position,Q4,53.13333333333333,8.45036850442637,54.333333333333336,10.01303283205866,49.56666666666666,2.1620861340936703,53.666666666666664,7.244082730546029
range_position,Q1,58.333333333333336,12.730017455858727,50.6,7.111160248566462,52.7,5.488047765794555,48.3,3.1973549060684667
sma200_dist_pct,Q4,58.93333333333334,14.073895562140775,57.333333333333336,11.146201208103186,51.800000000000004,5.405654108894832,54.56666666666666,6.683058683047401
sma200_dist_pct,Q1,60.333333333333336,13.150970316491119,56.599999999999994,14.830420594664165,56.333333333333336,5.709822511185164,52.76666666666666,9.458385741066579
sma200_slope,Q4,56.599999999999994,11.236713498864365,57.166666666666664,12.054405799811747,53.93333333333333,8.227871253389903,51.93333333333333,3.657599206395655
sma200_slope,Q1,59.73333333333334,15.57414553143659,56.3,12.845870639195196,54.13333333333333,8.1871198623856,54.13333333333333,6.823513117470046
price_above_sma200,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
price_above_sma200,Q1,54.300000000000004,5.2923760064046865,54.86666666666666,12.075832582314,52.6,4.87244368696796,49.93333333333334,5.689878516775098
keltner_width,Q4,67.86666666666666,24.418864891601093,61.96666666666667,18.337361463822415,61.06666666666667,14.74686324324695,56.699999999999996,12.60724009822664
keltner_width,Q1,42.13333333333333,0.9532999038975831,47.599999999999994,1.0814505608099716,44.4,-0.5369910221413959,47.266666666666666,0.43857584779924186
donchian_width,Q4,64.63333333333333,18.139679532409225,61.1,20.666514039573954,59.4,11.854045302179333,52.83333333333333,9.033594656627448
donchian_width,Q1,45.03333333333333,0.2959662595396768,48.53333333333333,2.8294373386972462,45.06666666666666,-0.7837118942200517,47.9,1.2118111784206722
bb_width,Q4,64.46666666666667,19.4583806053305,60.96666666666667,20.055134552709898,59.166666666666664,10.380125709898081,55.06666666666666,9.707762651958184
bb_width,Q1,45.166666666666664,1.4951497560905598,48.8,1.753136739062827,45.46666666666667,0.7261395502184902,47.733333333333334,-0.10775720784881355
bar_range_avg_10,Q4,66.23333333333333,20.868918095758826,63.5,24.05815759755114,61.03333333333333,12.75474350697209,54.300000000000004,9.577485532403564
bar_range_avg_10,Q1,43.233333333333334,1.2427537043253831,47.733333333333334,1.3917453735690115,43.1,-0.4646860523829471,47.8,0.30274556554903836
recent_volatility,Q4,65.06666666666666,22.365208110132922,61.16666666666667,19.781706824252723,59.86666666666667,10.808294332028852,55.36666666666667,10.43924915736987
recent_volatility,Q1,45.800000000000004,1.7636607451803017,47.03333333333333,1.0461225824075426,45.06666666666666,-0.6443221167955574,47.63333333333333,0.06009155587359131
range_position_50,Q4,52.13333333333333,11.526147227657328,57.13333333333333,8.197596697611607,49.833333333333336,4.848224813874691,53.166666666666664,4.22137059447537
range_position_50,Q1,60.699999999999996,12.53736816815008,50.93333333333333,10.005409564019514,53.333333333333336,3.9777238554040464,50.6,6.936839301559924
is_weekend,Q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_weekend,Q1,56.13333333333333,12.04284847576599,56.10000000000001,9.601591178249464,53.233333333333334,5.7757614493203215,54.166666666666664,7.414596616668205
