horizon,blocked_regimes,exit_strategy,trailing_pct,timeout,total_pnl,total_pnl_pct,win_rate,total_trades,profit_factor,max_drawdown_pct,sharpe,expectancy,time_seconds,time_data_split,time_build_similarity,time_init_decision,time_walk_forward,time_calc_metrics
15,"HIGH_VOL,TREND_LOW_VOL",TP_ONLY,0.0,0,-40.6235200751656,-0.40623520075165603,50.94850948509485,369,0.8978417104011635,1.2024703985993255,-0.017925136226358964,-0.11009084031210188,517.7057874202728,0,0,0,0,0
15,"HIGH_VOL,TREND_LOW_VOL",TP+TRAIL_0.5%,0.005,0,-40.6235200751656,-0.40623520075165603,50.94850948509485,369,0.8978417104011635,1.2024703985993255,-0.017925136226358964,-0.11009084031210188,517.9378395080566,0,0,0,0,0
15,"HIGH_VOL,TREND_LOW_VOL",TP+TRAIL_1%,0.01,0,-40.6235200751656,-0.40623520075165603,50.94850948509485,369,0.8978417104011635,1.2024703985993255,-0.017925136226358964,-0.11009084031210188,517.6643178462982,0,0,0,0,0
15,"HIGH_VOL,TREND_LOW_VOL",TP+TRAIL_2%,0.02,0,-40.6235200751656,-0.40623520075165603,50.94850948509485,369,0.8978417104011635,1.2024703985993255,-0.017925136226358964,-0.11009084031210188,519.2710468769073,0,0,0,0,0
15,TREND_LOW_VOL,TP+TRAIL_2%,0.02,0,-40.6235200751656,-0.40623520075165603,50.94850948509485,369,0.8978417104011635,1.2024703985993255,-0.017925136226358964,-0.11009084031210188,515.1657633781433,0,0,0,0,0
15,TREND_LOW_VOL,TP+TRAIL_1%,0.01,0,-40.6235200751656,-0.40623520075165603,50.94850948509485,369,0.8978417104011635,1.2024703985993255,-0.017925136226358964,-0.11009084031210188,516.7517552375793,0,0,0,0,0
15,TREND_LOW_VOL,TP+TRAIL_0.5%,0.005,0,-40.6235200751656,-0.40623520075165603,50.94850948509485,369,0.8978417104011635,1.2024703985993255,-0.017925136226358964,-0.11009084031210188,513.4696571826935,0,0,0,0,0
15,TREND_LOW_VOL,TP_ONLY,0.0,0,-40.6235200751656,-0.40623520075165603,50.94850948509485,369,0.8978417104011635,1.2024703985993255,-0.017925136226358964,-0.11009084031210188,514.0024616718292,0,0,0,0,0
120,"HIGH_VOL,TREND_LOW_VOL",TP_ONLY,0.0,0,-742.5438595994374,-7.4254385959943745,99.09909909909909,111,0.6322153595639077,20.189637574831377,-0.03470484337337698,-6.689584320715652,429.5876042842865,0,0,0,0,0
120,TREND_LOW_VOL,TP_ONLY,0.0,0,-742.5438595994374,-7.4254385959943745,99.09909909909909,111,0.6322153595639077,20.189637574831377,-0.03470484337337698,-6.689584320715652,243.11347484588623,0,0,0,0,0
120,NONE,TP_ONLY,0.0,0,-805.1788388983819,-8.05178838898382,99.05660377358491,106,0.6011920293694984,20.189637574831377,-0.038510488398158176,-7.596026782060206,243.1638526916504,0,0,0,0,0
120,TREND_HIGH_VOL,TP_ONLY,0.0,0,-805.1788388983819,-8.05178838898382,99.05660377358491,106,0.6011920293694984,20.189637574831377,-0.038510488398158176,-7.596026782060206,349.58508038520813,0,0,0,0,0
120,HIGH_VOL,TP_ONLY,0.0,0,-805.1788388983819,-8.05178838898382,99.05660377358491,106,0.6011920293694984,20.189637574831377,-0.038510488398158176,-7.596026782060206,220.50898575782776,0,0,0,0,0
120,TREND_LOW_VOL,TP+TRAIL_0.5%,0.005,0,-867.0283284596492,-8.670283284596492,51.08695652173913,276,0.6522932067771956,13.49394414317956,-0.03965292714050796,-3.1414069871726413,490.95741057395935,0,0,0,0,0
120,"HIGH_VOL,TREND_LOW_VOL",TP+TRAIL_0.5%,0.005,0,-867.0283284596492,-8.670283284596492,51.08695652173913,276,0.6522932067771956,13.49394414317956,-0.03965292714050796,-3.1414069871726413,736.7512347698212,0,0,0,0,0
120,"HIGH_VOL,TREND_LOW_VOL",TP+TRAIL_2%,0.02,0,-870.4129700829926,-8.704129700829927,96.49122807017544,114,0.5946904589340435,20.189637574831377,-0.040127677577781365,-7.63520149195608,372.2023253440857,0,0,0,0,0
120,TREND_LOW_VOL,TP+TRAIL_2%,0.02,0,-870.4129700829926,-8.704129700829927,96.49122807017544,114,0.5946904589340435,20.189637574831377,-0.040127677577781365,-7.63520149195608,359.6021728515625,0,0,0,0,0
120,TREND_HIGH_VOL,TP+TRAIL_2%,0.02,0,-889.8344473704203,-8.898344473704203,96.49122807017544,114,0.5866115176057103,20.189637574831377,-0.04102430507286779,-7.805565327810709,250.8450767993927,0,0,0,0,0
120,NONE,TP+TRAIL_2%,0.02,0,-889.8344473704203,-8.898344473704203,96.49122807017544,114,0.5866115176057103,20.189637574831377,-0.04102430507286779,-7.805565327810709,230.00273513793945,0,0,0,0,0
120,HIGH_VOL,TP+TRAIL_2%,0.02,0,-889.8344473704203,-8.898344473704203,96.49122807017544,114,0.5866115176057103,20.189637574831377,-0.04102430507286779,-7.805565327810709,231.43585324287415,0,0,0,0,0
120,HIGH_VOL,TP+TRAIL_0.5%,0.005,0,-918.3665821781449,-9.18366582178145,48.85245901639344,305,0.6556718196507241,13.776009576135076,-0.03992164432278686,-3.011037974354573,442.9609158039093,0,0,0,0,0
120,NONE,TP+TRAIL_0.5%,0.005,0,-918.3665821781449,-9.18366582178145,48.85245901639344,305,0.6556718196507241,13.776009576135076,-0.03992164432278686,-3.011037974354573,432.16763401031494,0,0,0,0,0
120,TREND_HIGH_VOL,TP+TRAIL_0.5%,0.005,0,-918.3665821781449,-9.18366582178145,48.85245901639344,305,0.6556718196507241,13.776009576135076,-0.03992164432278686,-3.011037974354573,519.8315434455872,0,0,0,0,0
120,NONE,TP+TRAIL_1%,0.01,0,-1044.9018307647161,-10.44901830764716,73.91304347826086,69,0.37588932649548734,13.885915176260477,-0.09586864153766583,-15.143504793691537,165.19099187850952,0,0,0,0,0
