entry_time,exit_time,direction,entry_price,exit_price,rsi_at_entry,gross_profit_bps,net_profit_bps,mfe_bps,mae_bps,exit_bar,exit_reason,is_winner,hold_hours
2024-08-24 22:00:00,2024-08-24 22:15:00,LONG,63612.36,63872.775279999994,18.968709862972872,40.937842897197875,32.937842897197875,60.937842897197875,0.0,1,TRAILING_STOP,True,0.25
2024-08-28 11:30:00,2024-08-28 12:15:00,SHORT,59990.0,60065.98,80.52415526880193,-12.665444240707124,-20.665444240707124,17.334555759292876,-21.17019503250542,3,TRAILING_STOP,False,0.75
2024-08-29 05:30:00,2024-08-29 18:45:00,SHORT,59339.99,59093.02997,80.62574995074874,41.617807822346435,33.617807822346435,71.61780782234644,-307.8868061824749,53,TRAILING_STOP,True,13.25
2024-08-29 06:30:00,2024-08-29 09:00:00,SHORT,59490.22,59552.47066,82.59569598759704,-10.464015765952595,-18.464015765952595,19.535984234047405,-38.62483614953833,10,TRAILING_STOP,False,2.5
2024-08-29 07:45:00,2024-08-29 09:00:00,SHORT,59628.69,59552.88607,81.55883105958122,12.712660633665152,4.712660633665152,42.71266063366515,-15.313098443047746,5,TRAILING_STOP,True,1.25
2024-08-30 19:00:00,2024-08-30 20:45:00,SHORT,59371.0,58878.113,80.64663220393469,83.01814016944299,75.01814016944299,113.01814016944299,0.0,7,TRAILING_STOP,True,1.75
2024-08-31 13:15:00,2024-08-31 14:00:00,SHORT,59200.01,59069.75003,80.88327311628392,22.0033695940255,14.0033695940255,52.0033695940255,-3.0388508380316086,3,TRAILING_STOP,True,0.75
2024-09-06 11:00:00,2024-09-06 11:45:00,SHORT,56178.01,55994.79403,85.46528528738041,32.61346744037391,24.61346744037391,62.61346744037391,0.0,3,TRAILING_STOP,True,0.75
2024-09-07 00:30:00,2024-09-07 04:30:00,SHORT,53940.0,53907.36,85.93700894992128,6.051167964404733,-1.9488320355952666,36.05116796440473,-24.10085279940675,16,TRAILING_STOP,False,4.0
2024-09-07 05:15:00,2024-09-07 06:30:00,SHORT,54290.0,54191.09,81.5629417333461,18.218824829618498,10.218824829618498,48.2188248296185,0.0,5,TRAILING_STOP,True,1.25
2024-09-16 08:30:00,2024-09-16 10:45:00,SHORT,59080.0,58683.24,80.29243854130269,67.1563981042654,59.156398104265406,97.1563981042654,0.0,9,TRAILING_STOP,True,2.25
2024-09-17 05:45:00,2024-09-22 10:45:00,SHORT,58420.0,62655.99,84.14936290703176,-725.0924340979113,-733.0924340979113,0.0,-977.9732968161587,500,TIME_EXIT,False,125.0
2024-09-18 10:15:00,2024-09-18 11:45:00,LONG,59545.45,59880.909100000004,15.585124353543662,56.3366470485995,48.3366470485995,76.3366470485995,0.0,6,TRAILING_STOP,True,1.5
2024-09-19 22:15:00,2024-09-19 22:30:00,LONG,62819.99,62960.37002000001,17.971348448946827,22.346393242024412,14.346393242024412,42.34639324202441,-23.876157891779027,1,TRAILING_STOP,True,0.25
2024-09-20 14:15:00,2024-09-20 14:30:00,LONG,62616.91,63380.766180000006,17.11448265385569,121.988801427601,113.988801427601,141.988801427601,0.0,1,TRAILING_STOP,True,0.25
2024-09-23 07:00:00,2024-09-23 10:00:00,LONG,63671.42,63582.65716,17.78392090542488,-13.940766516593827,-21.940766516593825,6.059233483406173,-58.33386470727341,12,TRAILING_STOP,False,3.0
2024-10-02 03:00:00,2024-10-02 03:30:00,SHORT,61782.89,61847.99866999999,82.88498351114265,-10.538301138066224,-18.538301138066224,19.461698861933776,-16.203515245078467,2,TRAILING_STOP,False,0.5
2024-10-02 03:30:00,2024-10-02 06:00:00,SHORT,61712.01,61535.13603,86.02927729141342,28.661190909192882,20.661190909192882,58.66119090919288,-25.27384863983545,10,TRAILING_STOP,True,2.5
2024-10-03 20:00:00,2024-10-03 21:00:00,SHORT,61036.0,60779.508,84.13451156919098,42.02306835310284,34.02306835310284,72.02306835310284,0.0,4,TRAILING_STOP,True,1.0
2024-10-11 22:45:00,2024-10-11 23:15:00,LONG,62415.01,62541.83998,18.870195002728522,20.320429332623064,12.320429332623064,40.320429332623064,-4.244171394029295,2,TRAILING_STOP,True,0.5
2024-10-15 04:00:00,2024-10-15 05:00:00,LONG,65399.99,65560.41002000001,10.898082744702705,24.529058796493466,16.529058796493466,44.529058796493466,-3.8211015016971657,4,TRAILING_STOP,True,1.0
2024-10-15 21:45:00,2024-10-15 22:30:00,LONG,66239.47,66859.52106,17.776822380026545,93.60749112273979,85.60749112273979,113.60749112273979,0.0,3,TRAILING_STOP,True,0.75
2024-10-26 05:45:00,2024-10-26 09:15:00,SHORT,67202.02,67197.21606,83.12173188674996,0.7148505357433415,-7.2851494642566585,30.71485053574334,-9.273530765889541,14,TRAILING_STOP,False,3.5
2024-10-30 13:30:00,2024-10-30 14:15:00,LONG,71772.03,72233.81594,14.571141507437744,64.340654709084,56.340654709084006,84.340654709084,-46.81907422710474,3,TRAILING_STOP,True,0.75
2024-11-01 11:30:00,2024-11-01 12:30:00,SHORT,70188.0,70107.584,80.05456756845592,11.4572291559805,3.4572291559804995,41.4572291559805,-37.428050378981744,4,TRAILING_STOP,True,1.0
2024-11-05 01:15:00,2024-11-05 01:30:00,SHORT,67978.02,67680.56406,83.55529619363185,43.757664609825255,35.757664609825255,73.75766460982526,0.0,1,TRAILING_STOP,True,0.25
2024-11-12 10:45:00,2024-11-12 11:00:00,LONG,86261.3,87372.5974,16.426545447715128,128.82919687043812,120.82919687043812,148.82919687043812,0.0,1,TRAILING_STOP,True,0.25
2024-11-18 01:30:00,2024-11-18 03:45:00,SHORT,90572.65,90571.71795,80.4640950613454,0.10290634093119522,-7.897093659068805,30.102906340931195,-40.055138057681674,9,TRAILING_STOP,False,2.25
2024-11-19 22:45:00,2024-11-20 00:00:00,LONG,91709.8,92235.2604,17.43290682266172,57.29599235850368,49.29599235850368,77.29599235850368,-13.575430324785357,5,TRAILING_STOP,True,1.25
2024-11-21 15:30:00,2024-11-21 15:45:00,LONG,96156.0,96735.688,19.582615675323098,60.2862015890844,52.2862015890844,80.2862015890844,-12.31956404176613,1,TRAILING_STOP,True,0.25
2024-11-24 22:45:00,2024-11-24 23:45:00,SHORT,97620.32,97823.86096,87.12995059639127,-20.850265600439847,-28.850265600439847,9.14973439956015,-76.74017048909484,4,TRAILING_STOP,False,1.0
2024-12-03 22:45:00,2024-12-04 01:30:00,SHORT,95850.57,95737.53171,81.44271804433453,11.793178694713134,3.7931786947131343,41.793178694713134,-76.10074723603553,11,TRAILING_STOP,True,2.75
2024-12-05 18:30:00,2024-12-05 18:45:00,LONG,101076.0,100961.858,19.760921300982204,-11.292690648621358,-19.29269064862136,8.707309351378642,-89.37136412204696,1,TRAILING_STOP,False,0.25
2024-12-10 21:30:00,2024-12-10 23:15:00,SHORT,96936.4,96878.23919999998,87.74920881204821,5.999892713160506,-2.0001072868394942,35.999892713160506,-19.829496453344788,7,TRAILING_STOP,False,1.75
2024-12-10 22:30:00,2024-12-11 00:00:00,SHORT,96810.12,96693.13036,81.04044660330614,12.08444323795883,4.08444323795883,42.08444323795883,-32.89945307370758,6,TRAILING_STOP,True,1.5
2024-12-11 05:30:00,2024-12-11 08:00:00,SHORT,97384.95,97541.02484999999,80.42050277019109,-16.02658829726752,-24.02658829726752,13.97341170273248,-52.83362572964345,10,TRAILING_STOP,False,2.5
2024-12-12 19:45:00,2024-12-12 20:15:00,LONG,99472.0,99757.056,14.078375906480517,28.65690847675728,20.65690847675728,48.65690847675728,-0.670540453594806,2,TRAILING_STOP,True,0.5
2024-12-18 12:15:00,2024-12-18 13:00:00,SHORT,105310.33,105003.37099,86.9202873282659,29.14804369144028,21.14804369144028,59.14804369144028,0.0,3,TRAILING_STOP,True,0.75
2024-12-20 15:30:00,2024-12-20 16:00:00,SHORT,97065.34,97108.91601999999,83.28112758288148,-4.489349133275031,-12.48934913327503,25.51065086672497,-52.197828802742926,2,TRAILING_STOP,False,0.5
2024-12-20 16:15:00,2024-12-20 16:30:00,SHORT,97509.19,97354.52757,80.92986250963412,15.86131830240845,7.861318302408449,45.86131830240845,-12.458312903634614,1,TRAILING_STOP,True,0.25
2024-12-23 10:30:00,2024-12-23 10:45:00,SHORT,96156.33,96320.76899,80.46576119785483,-17.101213201460702,-25.101213201460702,12.898786798539298,-30.03858404329663,1,TRAILING_STOP,False,0.25
2024-12-31 17:45:00,2024-12-31 18:00:00,LONG,93719.14,94229.28172,14.978025893811775,54.43303470347698,46.43303470347698,74.43303470347698,0.0,1,TRAILING_STOP,True,0.25
2025-01-07 12:15:00,2025-01-07 13:30:00,LONG,100718.09,100758.62382,18.843631194063335,4.024482592948413,-3.975517407051587,24.024482592948413,-10.172949070022263,5,TRAILING_STOP,False,1.25
2025-01-10 03:00:00,2025-01-10 03:45:00,SHORT,93364.36,93592.67308,81.012022954897,-24.453986510484427,-32.45398651048443,5.546013489515575,-38.930272750758554,3,TRAILING_STOP,False,0.75
2025-01-10 04:00:00,2025-01-10 04:45:00,SHORT,93696.13,93781.08838999999,84.42658438572795,-9.06743853774914,-17.06743853774914,20.93256146225086,-15.977180701059593,3,TRAILING_STOP,False,0.75
2025-01-14 13:30:00,2025-01-14 13:45:00,LONG,95898.66,96497.91268000001,13.39785982616101,62.48811818642751,54.48811818642751,82.48811818642751,0.0,1,TRAILING_STOP,True,0.25
