total,target,horizon,case0_count,case0_entry_range_median,case0_future_range_median,case0_expansion_median,case0_expansion_p75,case0_expansion_p25,case1_count,case1_entry_range_median,case1_future_range_median,case1_expansion_median,case1_expansion_p75,case1_expansion_p25,case2_count,case2_entry_range_median,case2_future_range_median,case2_expansion_median,case2_expansion_p75,case2_expansion_p25,case3_count,case3_entry_range_median,case3_future_range_median,case3_expansion_median,case3_expansion_p75,case3_expansion_p25,dataset
2099697,12,5,67728,9.243808058829984,10.730386105291029,1.186102410979606,1.8060231757710206,0.823183918338358,162306,5.1991009647784425,5.623051791964898,1.099463003059879,1.7658052861781273,0.7369637375257261,650460,12.132795772749857,13.08045799100056,1.093004664092589,1.558546533313137,0.78897575396979,1204006,6.1433514811090495,6.252202608012096,1.0268999106289018,1.5480834157298844,0.7117326068498537,train
2099697,12,10,75770,8.389925785298988,9.733662035135197,1.1716162990088312,1.79831421492791,0.8098268248486895,162306,5.1991009647784425,5.82967982913606,1.1529067299163231,1.870945089086983,0.7670118119810072,906290,10.679512762478083,11.443384453587656,1.0833517747662431,1.5446997342547222,0.7793145269043752,948176,5.700237639845845,5.966709781819704,1.0652044823212636,1.6246505777340259,0.7338611134317324,train
2099697,12,15,78925,8.059497454627346,9.407674616127041,1.1732179440760446,1.8149272106561163,0.8063331655487552,162306,5.1991009647784425,5.9731318368502055,1.184469051404752,1.9325548271143038,0.7821488836042166,1057156,10.04120004221556,10.79010792062807,1.0832995520064095,1.5530437457328947,0.77629229912302,797310,5.468561559103401,5.825327116239364,1.0882434476768685,1.6760903123787454,0.7440039663651521,train
2099697,12,30,81612,7.780157261795541,9.174828644101993,1.1802323154626049,1.8475528823011294,0.7993318459254692,162306,5.1991009647784425,6.294670812009075,1.2425226697506528,2.05740094350297,0.8075699336734559,1293654,9.237038865965806,10.024345065627045,1.0908981457821891,1.5834159413261384,0.7718007458539434,560812,5.146692589578484,5.6668323334825175,1.130079788141181,1.777312243456296,0.7595799396089554,train
2099697,12,60,82529,7.682980996627643,9.13918556454092,1.1886397181911452,1.8848718358268906,0.7970411423654692,162306,5.1991009647784425,6.675617008375664,1.297891568938514,2.1868770058786833,0.8294111259443416,1492850,8.680261129859218,9.604348066437112,1.1058927461314032,1.6335202849814576,0.7704311191218365,361616,4.888809228895052,5.566500320557314,1.1698060307282114,1.8788521614229006,0.7728903874615011,train
2099697,12,120,82844,7.648013525726945,9.208066142427445,1.2025949484175016,1.93398176176895,0.7960200286093978,162306,5.1991009647784425,7.0077161128130285,1.3426134466928503,2.2728167612342878,0.8473341657888049,1648598,8.297727706183803,9.405119451025946,1.127301440245131,1.6983373026187387,0.7708865884368441,205868,4.7312897681804245,5.489189194221858,1.205862494383805,1.9696542979303495,0.7831472933481542,train
2099697,15,5,52959,10.104032997943065,11.925251763705097,1.2110378749873298,1.8316042280217693,0.8420563382094659,203528,5.199594665819129,5.615372846290015,1.0930968476424678,1.7454088750586587,0.7350043215441493,512210,13.115219075691282,14.387110889704129,1.1119445850292875,1.58793262332921,0.8023593340961738,1313689,6.473170196099073,6.62847655193106,1.0263676216081188,1.5341190198419814,0.7154863696875838,train
2099697,15,10,61444,9.003159523174983,10.510226698652648,1.1831498117267714,1.8088313576659703,0.8195260781549918,203528,5.199594665819129,5.785303582099226,1.1414865487552899,1.8373840266286703,0.7623172532608509,758541,11.366981003690853,12.273522308841663,1.0936969564238062,1.5588176240549896,0.7870748085485505,1067358,6.007187323185663,6.283314004465566,1.0590877729851575,1.5974661766846814,0.7349702593548764,train
2099697,15,15,64901,8.550773398972193,10.039674546224694,1.1796150706285093,1.8183727826336953,0.8143505150570314,203528,5.199594665819129,5.901826523892436,1.16979624516818,1.894461855194975,0.7766001845508668,912056,10.605472659095865,11.428689591715948,1.0905838417747853,1.5606958406412117,0.7820114631518837,913843,5.753064723409295,6.096478288324359,1.0787788615994633,1.6420190299850068,0.7436553125404608,train
2099697,15,30,68343,8.104392449462626,9.577860123867628,1.1825073627314595,1.8468917303846126,0.8029463154485066,203528,5.199594665819129,6.177514017049845,1.2225824696424539,2.0064807014441,0.7994794644744381,1166644,9.617974794533524,10.430272438309466,1.09353120267089,1.583896365965411,0.774958003837205,659255,5.377084636253147,5.86060505026938,1.1157178906652507,1.7329871535360586,0.7560380590715633,train
