total,target,horizon,total_up,total_down,total_flat,total_strong_up,total_strong_down,up_case0_pct,down_case0_pct,flat_case0_pct,strong_up_case0_pct,strong_down_case0_pct,up_case1_pct,down_case1_pct,flat_case1_pct,strong_up_case1_pct,strong_down_case1_pct,up_case2_pct,down_case2_pct,flat_case2_pct,strong_up_case2_pct,strong_down_case2_pct,up_case3_pct,down_case3_pct,flat_case3_pct,strong_up_case3_pct,strong_down_case3_pct,dataset
2099697,12,5,565375,573845,945280,167850,167006,10.49586557594517,0.0008713154248969669,0.886721394719025,16.631516234733393,0.001197561764247991,2.6173778465620163,9.573665362597913,9.792865605958024,0.1298778671432827,9.86970528004982,59.41578598275481,21.765982103181173,20.06125169262018,81.86416443252904,25.160173885968167,27.470970594738002,68.65948121879602,69.25916130670278,1.3744414655942805,64.96892327221776,train
2099697,12,10,569132,573845,949565,167907,167006,11.086707477351476,0.0008713154248969669,1.333979243127116,16.65981763714437,0.001197561764247991,2.6000998011006233,9.573665362597913,9.748674393011537,0.1298337770313328,9.86970528004982,67.00677522964796,36.714792321968474,33.09378504894347,82.3271215613405,40.07161419350203,19.306417491899946,53.710671000008716,55.82356131491788,0.8832270244837916,50.057482964683906,train
2099697,12,15,570158,573845,951694,167916,167006,11.24670705313264,0.0008713154248969669,1.5547014061242375,16.664284523213986,0.001197561764247991,2.5954209184120893,9.573665362597913,9.72686598843746,0.12982681817099026,9.86970528004982,70.86404119559842,45.62904617100437,41.11395049249023,82.51804473665403,48.67849059315234,15.293830832856859,44.79641715097282,47.60448211294807,0.6878439219609805,41.450606565033596,train
2099697,12,30,570758,573845,953781,167921,167006,11.340007498799842,0.0008713154248969669,1.770112845611309,16.666765919688427,0.001197561764247991,2.5926925246777093,9.573665362597913,9.705582308727054,0.12982295245978764,9.86970528004982,76.08408467336419,59.58072301753958,54.257423874033975,82.77999773703111,61.84448462929476,9.983215303158257,30.844740304437607,34.266880971627664,0.4234133908206835,28.284612528891177,train
2099697,12,60,570871,573845,954585,167921,167006,11.357557136375819,0.0008713154248969669,1.8528470487175055,16.666765919688427,0.001197561764247991,2.5921793189704854,9.573665362597913,9.697407774058885,0.12982295245978764,9.86970528004982,79.97183251557708,70.97247514572751,65.89690808047476,82.9628218031098,72.44709770906435,6.078431029076622,19.452988176249683,22.55283709674885,0.24058932474199177,17.681999449121587,train
2099697,12,120,570886,573845,954885,167921,167006,11.359886211958255,0.0008713154248969669,1.883682328238479,16.666765919688427,0.001197561764247991,2.592111209593509,9.573665362597913,9.694361101074998,0.12982295245978764,9.86970528004982,82.732454465515,79.46692922304803,75.4303397791357,83.07180162100035,80.16358693699628,3.31554811293323,10.958534098929153,12.991616791550815,0.13160950685143608,9.965510221189659,train
2099697,15,5,562995,573845,945546,167517,167006,8.488707714988587,0.0008713154248969669,0.5460337201997576,15.303521433645539,0.001197561764247991,4.043197541718843,11.186818740252159,12.328326702243993,0.6536650011640609,11.119360981042597,49.99245108748745,16.81377375423677,14.200261013213531,77.48885187771988,20.583691603894472,37.475643655805115,71.99853619008617,72.92537856434271,6.553961687470525,68.29574985329869,train
2099697,15,10,568024,573845,949002,167828,167006,9.298902863259299,0.0008713154248969669,0.9082172640310557,15.460471435040638,0.001197561764247991,4.0074010957283495,11.186818740252159,12.28343038265462,0.6524537026002812,11.119360981042597,59.46650141543315,30.684766792426526,25.782242819298588,79.57134685511356,35.053231620420824,27.227194625579198,58.12754315189642,61.02610953401574,4.3157280072455135,53.826209836772335,train
2099697,15,15,569512,573845,950971,167888,167006,9.535883352765175,0.0008713154248969669,1.1133883157320255,15.490684265700944,0.001197561764247991,3.996930705586537,11.186818740252159,12.257997352180034,0.6522205279710284,11.119360981042597,64.48643751141327,39.513283203652556,33.4450787668604,80.49592585533213,43.800821527370275,21.98074843023501,49.299026740670385,53.183535565227544,3.361169350995902,45.078619929822885,train
2099697,15,30,570567,573845,953358,167920,167006,9.703154931848495,0.0008713154248969669,1.3609787718779305,15.506788947117675,0.001197561764247991,3.989540229280698,11.186818740252159,12.227306006767657,0.6520962363030014,11.119360981042597,71.69937973980268,54.03218639179569,46.938296002131416,81.75381133873273,57.576973282397034,14.607925099068119,34.78012355252725,39.473419219223,2.0873034778465938,31.302468174796118,train
