total,target,horizon,case0_count,case0_mfe_median,case0_mfe_p75,case0_mfe_p90,case0_mfe_p95,case0_mfe_p99,case0_mae_p95,case1_count,case1_mfe_median,case1_mfe_p75,case1_mfe_p90,case1_mfe_p95,case1_mfe_p99,case1_mae_p95,case2_count,case2_mfe_median,case2_mfe_p75,case2_mfe_p90,case2_mfe_p95,case2_mfe_p99,case2_mae_p95,case3_count,case3_mfe_median,case3_mfe_p75,case3_mfe_p90,case3_mfe_p95,case3_mfe_p99,case3_mae_p95,dataset
2099697,12,5,67728,15.93287698118193,20.573844587230546,28.698944446106527,37.06348529291985,63.58582712865258,0.0,162306,5.8744099633876115,8.999962334025067,10.820898546307019,11.412909123401445,11.890316716309552,617.0977701044546,650460,16.13503391515677,20.962661418922554,29.120698316050778,37.21744172221389,65.47092788461966,25.16071684290294,1204006,14.947397062677782,18.68079186270424,25.281760026718494,32.13390675801945,56.789737155740006,128.31287049169606,train
2099697,12,10,75770,15.625210758517014,20.000587615118473,27.767199012482564,35.67845841403145,62.026317201104874,0.0,162306,5.8744099633876115,8.999962334025067,10.820898546307019,11.412909123401445,11.890316716309552,617.0977701044546,906290,15.771916663096956,20.210945337370326,27.70253205643436,35.15160376109318,61.41395163489556,30.01221909179752,948176,14.926595893819472,18.74648617304456,25.648682018139503,32.8906329380171,58.78237217227583,143.2861272509176,train
2099697,12,15,78925,15.49451037006033,19.8067452840974,27.437677930034294,35.14801850322619,61.59208086798154,0.0,162306,5.8744099633876115,8.999962334025067,10.820898546307019,11.412909123401445,11.890316716309552,617.0977701044546,1057156,15.614953855727789,19.895851067469184,27.148912616531995,34.36226958433893,59.8838598496021,33.98139885154126,797310,14.953032886758667,18.88190134763988,26.04594764805261,33.61323437715147,60.446997225351424,153.98765824142848,train
2099697,12,30,81612,15.38135033309732,19.633686301403355,27.13472532857757,34.812746421626464,61.402620556823905,0.0,162306,5.8744099633876115,8.999962334025067,10.820898546307019,11.412909123401445,11.890316716309552,617.0977701044546,1293654,15.422264260738896,19.536489209702662,26.55616498597337,33.53955728657174,58.30194571094837,42.532748673719794,560812,15.080839691728364,19.315564377696543,27.085608508337693,35.37282193259783,63.47832036877898,176.75474863682692,train
2099697,12,60,82529,15.344852254932615,19.577464788732737,27.07188948576558,34.7827035994139,61.83946409888848,0.0,162306,5.8744099633876115,8.999962334025067,10.820898546307019,11.412909123401445,11.890316716309552,617.0977701044546,1492850,15.319859445953565,19.366859219960148,26.31056575477171,33.26636927266908,58.00042998362099,53.474333471299,361616,15.321888604106729,19.97714601435566,28.474502888705423,37.67165667750858,66.70120808459666,205.06234685328278,train
2099697,12,120,82844,15.331134372666138,19.55681262232148,27.055345004497763,34.800447899211065,62.13673919115758,0.0,162306,5.8744099633876115,8.999962334025067,10.820898546307019,11.412909123401445,11.890316716309552,617.0977701044546,1648598,15.279939258916649,19.3299173557321,26.302190062565455,33.29314572238069,58.19756716450054,66.73487570542136,205868,15.703262158102294,20.773218174074376,30.286050753364606,40.681021758488036,71.56108632200963,241.41398865784532,train
2099697,15,5,52959,19.1916737836499,24.127990715955647,32.832452014570286,41.849559315114085,70.53721945881038,0.0,203528,7.477663858787691,11.307889427470174,13.523041282380426,14.271185519174235,14.853866770237357,607.1355819406904,512210,19.513124670792113,24.790696057925942,33.74069489298357,42.60332334568994,73.45943041294896,26.836735321896192,1313689,18.208986977268435,22.27245698200612,29.43745052475648,36.90529526859891,63.12424888509906,133.1594509631535,train
2099697,15,10,61444,18.81988152486174,23.39572380702557,31.620172917580707,40.15742751501979,67.35302494531688,0.0,203528,7.477663858787691,11.307889427470174,13.523041282380426,14.271185519174235,14.853866770237357,607.1355819406904,758541,19.080216041912973,23.86517950264425,32.00982828285952,40.08280235138148,68.3639145741458,31.948602977626518,1067358,18.18084163014509,22.3115372948411,29.717850688246607,37.565438214309744,64.7782781160966,146.17908102835085,train
2099697,15,15,64901,18.6650264067707,23.137775326599787,31.16669994706722,39.61593977157979,66.51611578731197,0.0,203528,7.477663858787691,11.307889427470174,13.523041282380426,14.271185519174235,14.853866770237357,607.1355819406904,912056,18.887530967050914,23.481743369792206,31.320575345292895,39.1307870689794,66.30091661047598,36.17054459375167,913843,18.195775059658764,22.421179027283237,30.06739402554318,38.22314049586777,66.25200898914558,155.9793096807089,train
2099697,15,30,68343,18.506797668121948,22.882468630593067,30.71646130425404,39.044584649190284,65.64213601440629,0.0,203528,7.477663858787691,11.307889427470174,13.523041282380426,14.271185519174235,14.853866770237357,607.1355819406904,1166644,18.65359595328147,23.035950688199147,30.556675642801885,38.0460444666867,64.33265109090254,45.3513318958572,659255,18.315978288722903,22.816983719999307,31.0367624323766,40.01936839690039,69.08142556088617,177.24597230984745,train
