feature,quartile,noise_pct,real_up_pct,real_down_pct,real_both_pct,sample_size,noise_count,real_up_count,real_down_count,real_both_count
range_bps,Q1,24.50583549374544,30.664391011415738,31.33013446303362,13.499639031805202,524977,128650,160981,164476,70870
range_bps,Q2,5.100604407431183,31.28175139101332,32.099501501970565,31.518142699584935,524977,26777,164222,168515,165463
range_bps,Q3,1.0615723385450002,25.970330072231874,26.47340068879339,46.49469690042973,524976,5573,136338,138979,244086
range_bps,Q4,0.13124384496844624,17.649154153420056,17.30609150496117,64.91351049665033,524977,689,92654,90853,340781
body_bps,Q1,18.34137495547424,28.486962285966815,29.302807551568925,23.86885520699002,524977,96288,149550,153833,125306
body_bps,Q2,8.59751951037855,29.29937882992969,29.942264137286013,32.16083752240574,524977,45135,153815,157190,168837
body_bps,Q3,3.3662491237694674,27.509829020755234,27.86775014476852,41.256171710706774,524976,17672,144420,146299,216585
body_bps,Q4,0.4941168851206814,20.269459423936667,20.096308981155364,59.140114709787284,524977,2594,106410,105501,310472
upper_wick_pct,Q1,14.427509123740009,29.176158657838798,28.682829083206983,27.713503135214207,525004,75745,153176,150586,145497
upper_wick_pct,Q2,5.15324287409682,25.253976085387013,25.5042851618532,44.08849587866296,524951,27052,132571,133885,231443
upper_wick_pct,Q3,5.052802413824632,25.56802596690134,26.2518667520039,43.12730486727012,524976,26526,134226,137816,226408
upper_wick_pct,Q4,6.16523422023102,25.567264027307917,26.769985675535647,41.49751607692542,524976,32366,134222,140536,217852
lower_wick_pct,Q1,14.210807001504676,28.573986248404854,29.532217206635814,27.68298954345466,525030,74611,150022,155053,145344
lower_wick_pct,Q2,5.087403128833888,25.090298786109987,25.396247837782234,44.42605024727389,524924,26705,131705,133311,233203
lower_wick_pct,Q3,4.985751729602876,25.683269330407487,26.059667489561427,43.271311450428215,524976,26174,134831,136807,227164
lower_wick_pct,Q4,6.514380630008552,26.21772001440063,26.22057728243333,41.04732207315749,524977,34199,137637,137652,215489
range_position,Q1,10.115109804810496,27.211668320707382,26.695264744931684,35.97795712955044,524977,53102,142855,140144,188876
range_position,Q2,5.146130211418786,25.931231272989102,25.922849953426528,42.999788562165584,524977,27016,136133,136089,225739
range_position,Q3,5.18633232757307,25.464973636890065,26.6494087348755,42.699285300661366,524976,27227,133685,139903,224161
range_position,Q4,10.351691597917622,26.957752434868574,27.94160506079314,34.74895090642066,524977,54344,141522,146687,182424
