horizon,blocked_regimes,exit_strategy,trailing_pct,timeout,total_pnl,total_pnl_pct,win_rate,total_trades,profit_factor,max_drawdown_pct,sharpe,expectancy
10,NONE,TP_ONLY,0.0,0,-870.281576148575,-8.70281576148575,49.735449735449734,189,0.2738828526755809,9.541968311484434,-0.06621551604352251,-4.604664424066534
10,NONE,TP+TRAIL_1%,0.01,0,-870.281576148575,-8.70281576148575,49.735449735449734,189,0.2738828526755809,9.541968311484434,-0.06621551604352251,-4.604664424066534
10,NONE,TP+TRAIL_2%,0.02,0,-870.281576148575,-8.70281576148575,49.735449735449734,189,0.2738828526755809,9.541968311484434,-0.06621551604352251,-4.604664424066534
10,TREND_LOW_VOL,TP+TRAIL_1%,0.01,0,-881.7223616795767,-8.817223616795767,48.94736842105264,190,0.2685845378700594,9.54539477937011,-0.06691307949933499,-4.640644008839877
10,TREND_LOW_VOL,TP_ONLY,0.0,0,-881.7223616795767,-8.817223616795767,48.94736842105264,190,0.2685845378700594,9.54539477937011,-0.06691307949933499,-4.640644008839877
10,TREND_LOW_VOL,TP+TRAIL_2%,0.02,0,-881.7223616795767,-8.817223616795767,48.94736842105264,190,0.2685845378700594,9.54539477937011,-0.06691307949933499,-4.640644008839877
10,NONE,TP+TRAIL_0.5%,0.005,0,-897.5815857037977,-8.975815857037977,49.2063492063492,189,0.26365384273712306,9.727572357430144,-0.0682883388630815,-4.749108919067713
10,TREND_LOW_VOL,TP+TRAIL_0.5%,0.005,0,-909.0223712347994,-9.090223712347994,48.421052631578945,190,0.2585018760966208,9.81839487492234,-0.06898057838004631,-4.7843282696568386
10,TREND_HIGH_VOL,TP_ONLY,0.0,0,-1144.1664372841517,-11.441664372841517,46.39769452449568,347,0.34654794284757395,12.571016744917651,-0.048766705825966344,-3.2973096175335783
10,TREND_HIGH_VOL,TP+TRAIL_2%,0.02,0,-1144.1664372841517,-11.441664372841517,46.39769452449568,347,0.34654794284757395,12.571016744917651,-0.048766705825966344,-3.2973096175335783
10,TREND_HIGH_VOL,TP+TRAIL_1%,0.01,0,-1164.8728281270337,-11.648728281270337,46.264367816091955,348,0.3401835943819192,12.571016744917651,-0.04957848604791884,-3.3473357130087176
10,TREND_HIGH_VOL,TP+TRAIL_0.5%,0.005,0,-1228.0419473831455,-12.280419473831456,45.73643410852713,387,0.34896142679886033,12.571016744917651,-0.049542344153569444,-3.173235006157998
10,HIGH_VOL,TP_ONLY,0.0,0,-1505.4716984870902,-15.054716984870902,47.10144927536232,138,0.10501205193554519,15.210231638196655,-0.08528772639111468,-10.909215206428188
10,HIGH_VOL,TP+TRAIL_0.5%,0.005,0,-1505.4716984870902,-15.054716984870902,47.10144927536232,138,0.10501205193554519,15.210231638196655,-0.08528772639111468,-10.909215206428188
10,HIGH_VOL,TP+TRAIL_1%,0.01,0,-1505.4716984870902,-15.054716984870902,47.10144927536232,138,0.10501205193554519,15.210231638196655,-0.08528772639111468,-10.909215206428188
10,HIGH_VOL,TP+TRAIL_2%,0.02,0,-1505.4716984870902,-15.054716984870902,47.10144927536232,138,0.10501205193554519,15.210231638196655,-0.08528772639111468,-10.909215206428188
10,"HIGH_VOL,TREND_LOW_VOL",TP+TRAIL_2%,0.02,0,-1533.4902348542905,-15.334902348542906,44.680851063829785,141,0.0984501238198801,15.49041700186868,-0.08595680815309804,-10.875817268470145
10,"HIGH_VOL,TREND_LOW_VOL",TP+TRAIL_1%,0.01,0,-1533.4902348542905,-15.334902348542906,44.680851063829785,141,0.0984501238198801,15.49041700186868,-0.08595680815309804,-10.875817268470145
10,"HIGH_VOL,TREND_LOW_VOL",TP+TRAIL_0.5%,0.005,0,-1533.4902348542905,-15.334902348542906,44.680851063829785,141,0.0984501238198801,15.49041700186868,-0.08595680815309804,-10.875817268470145
10,"HIGH_VOL,TREND_LOW_VOL",TP_ONLY,0.0,0,-1533.4902348542905,-15.334902348542906,44.680851063829785,141,0.0984501238198801,15.49041700186868,-0.08595680815309804,-10.875817268470145
