horizon,experiment,min_expectancy,max_distance,blocked_regimes,total_pnl,total_pnl_pct,win_rate,total_trades,profit_factor,max_drawdown_pct,sharpe,expectancy
5,exp5_finetune_expectancy,0.0007,3.0,NONE,0.34601393727977503,6.9202787455955015,95.7983193277311,119,152.8359846033022,0.02607340102871447,1.7784703659042094,0.0029076801452081937
5,exp5_finetune_expectancy,0.0008,3.0,NONE,0.31608168498001604,6.321633699600321,98.9247311827957,93,890.2723400711433,0.007108771311941098,2.3275746735108176,0.003398727795484044
5,exp5_finetune_expectancy,0.0009,3.0,NONE,0.24007851891515264,4.801570378303053,100.0,60,99.99,0.0,3.2586431755527747,0.004001308648585877
5,exp5_finetune_expectancy,0.001,3.0,NONE,0.1864618830783336,3.729237661566672,100.0,42,99.99,0.0,4.638685518742316,0.004439568644722228
5,exp5_finetune_expectancy,0.0011,3.0,NONE,0.12865758741106018,2.573151748221204,100.0,26,99.99,0.0,5.4051841252645705,0.0049483687465792375
5,exp5_finetune_expectancy,0.0012,3.0,NONE,0.09142293570106295,1.828458714021259,100.0,18,99.99,0.0,5.735689938801374,0.005079051983392387
5,exp5_finetune_expectancy,0.0013,3.0,NONE,0.06446590974410212,1.2893181948820422,100.0,12,99.99,0.0,7.224290380452986,0.005372159145341843
5,exp5_finetune_expectancy,0.0014,3.0,NONE,0.043035389020919815,0.8607077804183964,100.0,8,99.99,0.0,6.147400036644111,0.005379423627614977
5,exp5_finetune_expectancy,0.0015,3.0,NONE,0.043035389020919815,0.8607077804183964,100.0,8,99.99,0.0,6.147400036644111,0.005379423627614977
5,exp5_finetune_expectancy,0.0006,3.0,NONE,-0.037808443197068664,-0.7561688639413733,84.57142857142857,175,0.9110849394324073,8.1867547974724,-0.006933994350480463,-0.00021604824684039395
5,exp5_finetune_expectancy,0.0005,3.0,NONE,-0.07796879017526975,-1.559375803505395,67.79026217228464,267,0.8403070575431901,8.1867547974724,-0.011586126626525365,-0.0002920179407313473
