feature,horizon,q1_mfe_median_train,q4_mfe_median_train,q4_q1_diff_train,spearman_r_train,p_value_train,q1_count_train,q4_count_train,pct_profitable_q1_train,pct_profitable_q4_train,status_train,q1_mfe_median_oos,q4_mfe_median_oos,q4_q1_diff_oos,spearman_r_oos,p_value_oos,q1_count_oos,q4_count_oos,pct_profitable_q1_oos,pct_profitable_q4_oos,status_oos
atr_pct,10,42.47068171747921,159.65238465394555,117.18170293646634,0.6272267450620453,0.0,34976,34976,87.52001372369624,100.0,OK,38.77959904702128,107.27624495289393,68.49664590587265,0.550556592469691,0.0,17483,17483,86.97019962249041,99.99428015786765,OK
keltner_width,10,42.48510432261024,159.65426008589844,117.1691557632882,0.6314053197182741,0.0,34976,34976,87.52859103385178,100.0,OK,38.76566859925383,107.3751481712106,68.60947957195677,0.5511493798945575,0.0,17483,17483,86.96447978035806,99.99428015786765,OK
bar_range_avg_10,10,42.274477312874325,159.39399652411947,117.11951921124515,0.6304026831702352,0.0,34976,34976,87.55146386093321,100.0,OK,38.86506152389872,108.01506347858079,69.15000195468207,0.5597713783431705,0.0,17483,17483,86.8786821483727,99.99428015786765,OK
atr7_pct,10,42.344189095848364,159.1935139621362,116.84932486628783,0.6353869135390091,0.0,34976,34976,87.58577310155535,100.0,OK,39.0066491338895,109.387359434941,70.3807103010515,0.562713337213221,0.0,17483,17483,86.947320253961,99.99428015786765,OK
atr21_pct,10,42.987196618879715,158.63477255190526,115.64757593302554,0.6220809116675545,0.0,34976,34976,87.55718206770356,99.99714089661482,OK,38.78258130561496,105.50943396226414,66.72685265664919,0.5388908271834644,0.0,17483,17483,87.04455757021107,99.98284047360293,OK
std20,10,44.56059637053167,153.17645988868628,108.61586351815461,0.5868981015369821,0.0,34976,34976,87.8573879231473,99.99714089661482,OK,39.42297976814416,103.50863097970867,64.08565121156451,0.5168756277589696,0.0,17483,17483,87.28479093977006,99.97140078933822,OK
recent_volatility,10,44.961529306283964,153.06793859682966,108.1064092905457,0.5797923519486092,0.0,34976,34976,87.99462488563586,100.0,OK,40.576468048569524,105.40323821384112,64.8267701652716,0.5174690702645497,0.0,17483,17483,87.82817594234399,99.98284047360293,OK
range_bps,10,45.03700932480638,152.2684723108195,107.23146298601313,0.5811559033900204,0.0,34976,34976,88.07753888380604,99.99142268984447,OK,41.69488730428835,107.42533770393942,65.73045039965106,0.5211756906037915,0.0,17483,17483,88.33724189212377,99.93708173654407,OK
donchian_width,10,47.284530010464806,147.7739916314291,100.4894616209643,0.528318802685556,0.0,34976,34976,88.48924977127173,99.91422689844465,OK,42.28020989841205,96.13245874849743,53.852248850085374,0.44640125146576715,0.0,17483,17483,88.33152204999142,99.62821026139679,OK
bb_width,10,46.67412412161737,145.60005737590794,98.92593325429057,0.539546870760624,0.0,34976,34976,88.28911253430924,99.98284537968894,OK,42.275481367260724,99.67247980510052,57.3969984378398,0.4620007514039712,0.0,17483,17483,88.16564662815306,99.95424126294114,OK
