feature,quartile,n_trades,win_rate,avg_pnl,median_pnl,total_bps,long_avg,short_avg,dataset
body_bps,Q4,2000,90.95,50.59412289788825,34.18953892750476,101188.2457957765,8.247466804365695,8.775782959394798,OOS
body_bps,Q1,2000,86.15,29.75220408894572,19.95114576813132,59504.40817789143,3.436713076342137,2.061297031294748,OOS
day_of_week,Q4,2000,85.75,27.03013297696817,17.732368714259295,54060.26595393634,0.5727835112086654,3.1707563388355755,OOS
day_of_week,Q1,1999,89.94497248624313,44.293109779035966,29.745919534255,88541.9264482929,6.280835142137703,7.049420152465216,OOS
donchian_width,Q4,2000,90.6,53.58504422544712,36.84175749695494,107170.08845089424,12.002474844829685,8.33108114654347,OOS
donchian_width,Q1,2000,85.8,25.5242521751241,16.319850503103094,51048.5043502482,0.1498384601837835,1.1731959845067812,OOS
ema_separation,Q4,2000,91.55,47.499056934811655,31.528010573572512,94998.11386962332,9.793124868499069,7.059061561013826,OOS
ema_separation,Q1,1998,87.28728728728728,31.51505884745377,20.17989612910284,62967.08757721263,1.06528204035942,4.329227971211511,OOS
hour_utc,Q4,2000,87.0,38.52452905879305,24.925851176132586,77049.0581175861,4.625027851634992,5.463722087170585,OOS
hour_utc,Q1,2000,87.8,33.48301271167901,21.40067539754461,66966.02542335802,1.3517454417990618,3.1531920231803383,OOS
keltner_width,Q4,2000,93.8,58.842478585507976,40.13908051923404,117684.95717101597,10.642550652145909,12.06699355982945,OOS
keltner_width,Q1,1999,84.44222111055528,20.303850397094287,13.371723697740425,40587.39694379148,-0.905850697103028,-0.0617323309849154,OOS
range_bps,Q4,2000,92.9,56.63161831187181,39.28452447487472,113263.2366237436,13.280907293806989,9.78422042059408,OOS
range_bps,Q1,2000,83.8,21.625734443007666,14.263652372873947,43251.468886015326,-0.2213920130250003,0.0414096980927994,OOS
recent_volatility,Q4,2000,93.25,59.16802709257543,43.01263754839495,118336.05418515086,11.24260385248651,13.553011269773018,OOS
recent_volatility,Q1,1998,85.78578578578579,21.40331305935599,13.93537922779626,42763.81949259327,0.1028172751942292,-0.4601383870398099,OOS
std20,Q4,2000,91.4,56.0847287928411,38.36848799340956,112169.4575856822,12.999021810652645,9.16034608364462,OOS
std20,Q1,2000,85.55,21.73847038020789,13.909947664724184,43476.94076041578,0.2344857625129548,0.0974909937423037,OOS
