feature,quartile,n_trades,win_rate,avg_pnl,median_pnl,total_bps,long_avg,short_avg,dataset
atr21_pct,Q4,2000,96.9,86.14323735577872,55.20463103759778,172286.47471155744,20.99065665500139,29.817826455933734,TRAIN
atr21_pct,Q1,2000,83.89999999999999,24.69685751801133,14.211843269681182,49393.715036022666,1.631176920521692,2.109011824417036,TRAIN
atr7_pct,Q4,2000,97.0,79.55570039839836,56.6034957066458,159111.40079679672,21.54524871643822,21.41329014230565,TRAIN
atr7_pct,Q1,2000,84.89999999999999,24.902712023543646,14.534867047277467,49805.42404708729,2.028594889625916,2.1048161978579016,TRAIN
atr_pct,Q4,2000,97.25,83.59645775486239,57.96324557550744,167192.91550972476,28.806278289430026,21.9438818543796,TRAIN
atr_pct,Q1,2000,82.19999999999999,22.164596167617532,13.48407794942413,44329.19233523507,0.8849602691654299,1.0651890935748187,TRAIN
atr_percentile,Q4,2000,92.35,64.23005192810446,39.49731954589412,128460.10385620892,12.245479302007936,15.925805445789932,TRAIN
atr_percentile,Q1,2000,87.8,38.10599431553708,22.54621243000813,76211.98863107414,5.877572177899675,6.805395442113468,TRAIN
bar_range_avg_10,Q4,2000,96.7,87.20476251660014,57.89318984625682,174409.52503320028,24.3296333382124,21.441836322136133,TRAIN
bar_range_avg_10,Q1,2000,82.95,24.167335557692727,13.078141283547112,48334.671115385456,0.7326390962954902,1.2873566482924768,TRAIN
bb_width,Q4,2000,95.0,77.25201102233711,53.353800609262265,154504.02204467423,19.85651616542205,21.268439214872146,TRAIN
bb_width,Q1,2000,84.3,24.851280808362027,14.645828172849544,49702.56161672405,0.5479665150223544,1.074281395823024,TRAIN
body_bps,Q4,2000,95.05,73.10719310635083,47.73774925596538,146214.38621270168,14.35541633112451,20.02310953939561,TRAIN
body_bps,Q1,2000,85.15,32.08407577514061,18.111514072218785,64168.15155028122,3.729072811348368,3.9413413680922,TRAIN
day_of_week,Q4,2000,86.85000000000001,37.66326963661284,22.48612522993242,75326.53927322567,4.818851526852268,8.750556099064989,TRAIN
day_of_week,Q1,2000,90.15,50.2912752558092,30.689620779516,100582.5505116184,12.025245742738012,9.260597804951828,TRAIN
donchian_width,Q4,2000,94.75,77.41365195426366,51.64240586805018,154827.3039085273,22.04625076157916,21.90253251468877,TRAIN
donchian_width,Q1,1999,83.84192096048024,25.931108180160003,15.094874490849216,51836.285252139845,1.2254109871552044,1.7257333176660157,TRAIN
ema_separation,Q4,2000,93.15,67.83248164029838,45.496294890134095,135664.96328059677,17.74174021764418,20.918823421507884,TRAIN
ema_separation,Q1,2000,85.05,33.077859142673574,19.474573817404558,66155.71828534715,5.724796648182207,1.3736194671933513,TRAIN
hour_utc,Q4,2000,90.5,48.943870296991776,30.03842387113682,97887.74059398354,10.28014675941018,9.296070058686665,TRAIN
hour_utc,Q1,2000,88.64999999999999,40.54896005669715,24.238228851503315,81097.9201133943,8.508110922573557,-0.4158227479170382,TRAIN
keltner_width,Q4,2000,96.1,81.44116698756383,57.13494706045425,162882.3339751277,24.443493257716224,19.255415887916133,TRAIN
keltner_width,Q1,2000,84.65,24.90440551451996,14.5073394217694,49808.81102903992,2.0001210672046392,2.921764607698207,TRAIN
range_bps,Q4,2000,96.35,78.18032509606299,53.68552663527354,156360.65019212596,17.33656001661519,18.413904785498293,TRAIN
range_bps,Q1,2000,84.45,25.5963665333003,14.394552998577474,51192.7330666006,2.57816041170253,1.3416172639445427,TRAIN
recent_volatility,Q4,2000,95.6,77.96289639237095,51.93130755552854,155925.7927847419,18.929872456882656,18.531085402212483,TRAIN
recent_volatility,Q1,2000,83.2,25.201515879463965,14.171904702167206,50403.03175892793,1.2517786184556718,2.1887456131139915,TRAIN
std20,Q4,2000,96.25,76.74474203042872,57.88929568042458,153489.48406085745,19.97361050613845,18.246641426441148,TRAIN
std20,Q1,2000,83.7,24.278033596448857,13.177696969823453,48556.06719289772,0.9207255526706534,1.2817747406132272,TRAIN
atr21_pct,Q4,2000,92.4,57.517515971866246,40.69611337264963,115035.0319437325,12.650327413611915,10.202904034450166,OOS
atr21_pct,Q1,1999,85.79289644822411,21.855233966260627,14.478178888704663,43688.61269855499,-0.3446996524441772,0.7106923855549919,OOS
atr7_pct,Q4,2000,92.75,58.256576041644415,40.86053754489974,116513.15208328883,14.271026411647169,7.9650689541475055,OOS
atr7_pct,Q1,1999,82.4912456228114,19.83090749000367,12.974867901705608,39641.98407251734,-2.138841016526392,0.7876211624532107,OOS
atr_pct,Q4,2000,93.3,55.516174615551215,39.34029495871431,111032.34923110245,11.71809090361162,11.192546815334945,OOS
atr_pct,Q1,1999,84.39219609804903,21.21660477679143,13.416442327604052,42411.99294880607,0.4731762367324792,-1.0439514335716378,OOS
atr_percentile,Q4,2000,90.3,52.22638353677928,33.94456600078838,104452.76707355854,8.768168082616842,7.958686844499991,OOS
atr_percentile,Q1,2000,83.85000000000001,24.456663634559963,15.39679615684192,48913.32726911992,1.245671323084247,1.092516803725008,OOS
bar_range_avg_10,Q4,2000,93.35,58.659730421092696,41.40000204585865,117319.4608421854,11.989224244893297,10.119526441529665,OOS
bar_range_avg_10,Q1,1999,84.54227113556779,20.38096547570296,13.307230205464812,40741.54998593021,-0.8406816113583241,0.2273559795267963,OOS
bb_width,Q4,2000,91.4,54.37357040244622,38.44711445571775,108747.14080489243,11.36530174304579,9.02940408524266,OOS
bb_width,Q1,2000,83.15,22.913911810388782,14.559725286513054,45827.82362077756,0.8339496973496352,0.0508839712861698,OOS
