entry_time,entry_price,exit_price,direction,bars_held,exit_reason,peak_pnl_bps,final_pnl_bps,winner
2024-01-01 00:15:00+00:00,42419.73,42396.54419,SHORT,1,TRAILING,15.450357651970172,-2.5341919903774324,False
2024-01-01 02:45:00+00:00,42581.1,42544.05336,LONG,1,TRAILING,1.3010467085164246,-16.70025433819241,False
2024-01-01 03:00:00+00:00,42508.24,42461.809389999995,SHORT,1,TRAILING,20.901829856987387,2.92273168684544,True
2024-01-01 04:45:00+00:00,42399.99,42363.594,LONG,1,TRAILING,1.4174531644941515,-16.583964288670977,False
2024-01-01 11:30:00+00:00,42607.81,42650.41780999999,SHORT,1,TRAILING,0.0,-17.999999999998607,False
2024-01-01 11:45:00+00:00,42690.2,42696.48078,LONG,1,TRAILING,11.482729057255314,-6.528753671802671,False
2024-01-01 12:00:00+00:00,42626.53,42669.146519999995,SHORT,1,TRAILING,0.0023459568494168465,-17.997651697193263,False
2024-01-01 12:15:00+00:00,42684.15,42737.22,LONG,1,TRAILING,22.455642199738904,4.43318655753944,True
2024-01-01 12:45:00+00:00,42648.38,42655.37276,SHORT,1,TRAILING,8.352017122337436,-9.639630860539368,False
2024-01-01 14:00:00+00:00,42646.99,42622.579999999994,SHORT,1,TRAILING,15.7080253495025,-2.2762666251467003,False
2024-01-01 15:15:00+00:00,42683.2,42804.222929999996,LONG,1,TRAILING,38.392154290213156,20.35376213592214,True
2024-01-01 16:15:00+00:00,42723.04,42746.093389999995,SHORT,1,TRAILING,4.599391803579861,-13.396008804615418,False
2024-01-01 16:30:00+00:00,42775.59,42736.4208,LONG,1,TRAILING,0.8439392653615257,-17.156904673903185,False
2024-01-01 16:45:00+00:00,42725.15,42766.19347,SHORT,1,TRAILING,0.3932110244201111,-17.606395764554808,False
2024-01-01 17:00:00+00:00,42777.53,42735.61161,LONG,1,TRAILING,0.2010401255052786,-17.799160914620106,False
2024-01-01 17:45:00+00:00,42812.7,43084.872,LONG,1,TRAILING,73.64637128702533,55.57272491573901,True
2024-01-01 21:30:00+00:00,43483.76,43527.24376,SHORT,1,TRAILING,0.0,-17.99999999999897,False
2024-01-01 21:45:00+00:00,43619.21,43617.4389,LONG,1,TRAILING,9.603566868817527,-8.406036698050725,False
2024-01-01 22:00:00+00:00,43518.99,43404.961599999995,SHORT,1,TRAILING,36.165820943914234,18.201986764858944,True
2024-01-02 04:30:00+00:00,45224.91,45215.17,SHORT,1,TRAILING,12.141538811244398,-5.846319649943972,False
2024-01-02 05:00:00+00:00,45314.0,45279.395280000004,LONG,1,TRAILING,2.3657147901313422,-15.636650924658102,False
2024-01-02 06:45:00+00:00,45168.75,45213.90873999999,SHORT,1,TRAILING,0.002213920022590235,-17.997783866055993,False
2024-01-02 07:00:00+00:00,45339.3,45598.10625,LONG,1,TRAILING,67.1492502089792,49.08210095876958,True
2024-01-02 10:15:00+00:00,45647.92,45567.922399999996,SHORT,1,TRAILING,27.497419378582155,9.524916797961971,True
2024-01-02 12:45:00+00:00,45301.99,45309.654389999996,SHORT,1,TRAILING,8.29985614318456,-9.691844000671514,False
2024-01-02 13:00:00+00:00,45472.8,45514.44,LONG,1,TRAILING,19.17629879840192,1.1571224996040304,True
2024-01-02 14:30:00+00:00,45524.5,45014.969999999994,SHORT,1,TRAILING,121.80254588188777,103.92434842777101,True
