EMA,Total Crosses,Crosses Above,Crosses Below,Avg Bars Between,Time Above (%),Time Below (%),Avg Distance (bps)
5,19798,9899,9899,3.5327810889988887,51.373995596351264,48.626004403648736,14.66823385002693
7,16929,8465,8464,4.131490342016658,51.6370707157359,48.362929284264105,18.56754542911845
10,14345,7173,7172,4.8757058208435,51.90443510337136,48.09556489662864,23.33958764661523
15,11559,5780,5779,6.050869452374773,52.25901461210718,47.74098538789283,29.82610931711285
20,10161,5081,5080,6.883377620312961,52.383403391381435,47.61659660861857,35.272407315552734
30,8139,4070,4069,8.593438997419831,52.712247290612225,47.287752709387775,44.45339558780122
