timestamp,entry_price,rsi,mfe_bps,mae_bps,final_move_bps,time_to_best,bounced,success,volatility_bps,trend,consecutive,signal_type,period
2020-01-02 03:45:00,7129.61,17.328793038214542,44.02765368652749,18.1075823221745,23.802143455252466,2,True,True,21.194006404277182,DOWN,False,oversold,in_sample
2020-01-02 17:15:00,6950.0,16.310210154361272,64.74820143884892,2.1151079136694313,47.870503597122934,10,True,True,43.67913669064744,DOWN,False,oversold,in_sample
2020-01-02 18:00:00,6962.76,15.506715506715608,46.303477356680084,30.864197530863883,-2.5277332552037097,7,True,True,46.05429456135211,DOWN,False,oversold,in_sample
2020-01-03 01:45:00,6888.85,18.084931956058625,238.31263563584642,25.853371752905637,186.0397599018702,10,True,True,26.91378096489244,DOWN,False,oversold,in_sample
2020-01-05 21:15:00,7409.32,19.38696470067532,0.8097909119870161,123.25017680434873,-68.25187736526391,1,True,False,21.234067363806595,DOWN,False,oversold,in_sample
2020-01-05 22:15:00,7337.89,18.789079427969824,63.81943583237133,23.01751593441756,55.68358206514362,10,True,True,27.70142370626972,DOWN,False,oversold,in_sample
2020-01-11 05:00:00,8079.02,19.879589654216232,87.85719059984943,42.54228854489876,15.7197283828977,8,True,True,49.91694537208701,DOWN,False,oversold,in_sample
2020-01-13 03:15:00,8088.0,14.703741447081043,47.36646884273047,12.79673590504496,10.175568743817463,6,True,True,30.800568743817976,DOWN,False,oversold,in_sample
2020-01-19 06:45:00,9073.12,15.197992191857992,59.78097942052985,35.401273211420985,50.522863138587745,10,True,True,33.322605674784334,UP,False,oversold,in_sample
2020-01-19 11:00:00,8651.08,13.030189832580518,55.38036869385078,106.41445923514694,-24.736795868261115,3,True,True,63.97467137051085,DOWN,False,oversold,in_sample
2020-01-21 19:45:00,8531.86,18.780710775911743,301.3879740173883,3.2232127578277185,220.84281739269053,5,True,True,31.280400756693375,DOWN,False,oversold,in_sample
2020-01-23 11:45:00,8423.0,18.507626680455132,77.16965451739284,115.16086904903241,-94.9780363290989,1,True,True,54.33752819660459,DOWN,False,oversold,in_sample
2020-01-25 00:30:00,8365.26,17.9599922690376,0.7292062649583898,131.9265629520189,-50.19569027143182,1,True,False,36.51829112304912,DOWN,False,oversold,in_sample
2020-01-25 12:45:00,8292.31,19.259760340162373,80.3515546331493,4.498143460627453,50.64933655398797,3,True,True,29.875269979052955,DOWN,False,oversold,in_sample
2020-01-31 12:30:00,9272.87,12.95178923472072,29.257392802874616,67.78915265716071,20.70556364965637,6,True,True,39.103319684196954,DOWN,False,oversold,in_sample
2020-02-06 00:45:00,9550.59,18.113192149182723,88.49715043782682,11.088320198019332,49.588559450254465,5,True,True,43.47584808896626,DOWN,False,oversold,in_sample
2020-02-08 03:00:00,9688.23,12.322163433274142,91.10023193091021,6.905286104890874,89.345525446858,10,True,True,28.01595337848101,DOWN,False,oversold,in_sample
2020-02-10 05:45:00,9835.71,14.414504158988052,188.3849767835783,21.238934454146595,79.7603833378584,2,True,True,47.471916109767385,DOWN,False,oversold,in_sample
2020-02-15 15:45:00,9983.18,14.60059616594188,112.00839812564703,171.62867943881625,-75.97779465060268,1,True,True,42.843562872751896,DOWN,False,oversold,in_sample
2020-02-15 16:15:00,9979.01,19.26419671667793,0.9920823809173273,167.52162789695578,-65.01646956962766,1,True,False,51.81475917951775,DOWN,False,oversold,in_sample
2020-02-15 17:30:00,9904.62,17.805795178058005,35.72070407547104,93.6734574370351,-12.943454670650187,6,True,True,65.09689417665687,DOWN,False,oversold,in_sample
2020-02-16 17:30:00,9776.92,17.673006001880367,64.58066548565337,67.11725164980464,-18.809604660771917,3,True,True,62.90835968791809,DOWN,False,oversold,in_sample
2020-02-17 12:30:00,9638.0,17.308674399941395,21.550114131563017,192.29093172857432,-67.28574393027637,1,True,True,55.623573355467975,DOWN,False,oversold,in_sample
2020-02-19 07:00:00,10058.96,18.936618936618544,102.42609573952045,47.6192369787728,57.70974335319068,7,True,True,31.88798842027427,DOWN,False,oversold,in_sample
2020-02-19 21:45:00,9615.72,13.808659369242278,99.1709409175814,120.34460238026831,-2.454314393512668,3,True,True,90.36244815780805,DOWN,False,oversold,in_sample
2020-02-19 23:30:00,9643.35,19.919844547000167,25.561656478298136,86.43261936982518,-73.68808557192209,6,True,True,100.40805321802074,DOWN,False,oversold,in_sample
2020-02-20 00:15:00,9613.36,15.960657062410846,56.83756771825815,117.91922907287419,-25.953464761540946,3,True,True,105.65192606955328,DOWN,False,oversold,in_sample
2020-02-21 20:00:00,9633.0,15.9026598754959,90.3145437558393,30.1048479186131,4.5468701339138375,3,True,True,33.022422921208204,DOWN,False,oversold,in_sample
2020-02-24 17:45:00,9600.76,17.561551739801928,47.32958640774325,132.48951124702702,30.653823238993883,10,True,True,51.238131147950895,DOWN,False,oversold,in_sample
2020-02-25 15:15:00,9416.53,14.946927095464758,46.75820073848735,143.92775257977266,-86.32691660303834,3,True,True,56.44860686473701,DOWN,False,oversold,in_sample
2020-02-26 01:45:00,9205.46,18.35095785440592,27.961666228522642,102.61301445011888,-76.72620379644168,1,True,True,52.704047380576306,DOWN,False,oversold,in_sample
2020-02-26 16:00:00,8906.07,14.464823324354398,15.528734896536776,305.9037263349609,-120.9849013088826,1,True,True,85.05771906126921,DOWN,False,oversold,in_sample
2020-02-27 22:00:00,8685.0,18.306840507233403,247.55325273459988,40.29936672423719,192.70005757052456,10,True,True,49.24467472653997,DOWN,False,oversold,in_sample
2020-02-28 07:15:00,8729.03,19.2237857467088,57.8758464571649,172.5506728697241,-142.6618994321255,3,True,True,37.77682056310933,DOWN,False,oversold,in_sample
2020-03-06 15:45:00,9001.4,19.799025578562777,90.59701824160807,1.5553136178812585,66.13415690892602,6,True,True,32.6443664318882,DOWN,False,oversold,in_sample
2020-03-07 18:00:00,8863.51,14.60404216342819,41.16879204739407,12.196071308092945,16.494594128058726,2,True,True,49.66486188880025,DOWN,False,oversold,in_sample
2020-03-08 01:45:00,8759.79,18.270040324366875,17.3520141464566,73.12960698829687,-26.610226957497048,1,True,True,32.71082982582915,DOWN,False,oversold,in_sample
2020-03-08 02:15:00,8756.07,19.841489994054868,5.242077781470621,68.9121946261281,-25.902031390795518,1,True,False,34.16315767233476,DOWN,False,oversold,in_sample
2020-03-08 15:00:00,8517.39,18.028075270769037,36.525273587332016,432.19812642135565,-236.41044968000617,1,True,True,45.93484623810793,DOWN,False,oversold,in_sample
2020-03-08 17:30:00,8316.03,18.924452688868428,46.84927784050698,67.33982441140785,-20.947495379405883,1,True,True,87.42332579367786,DOWN,False,oversold,in_sample
2020-03-08 23:45:00,8033.31,17.165058277979824,181.743266474218,27.64738320816704,66.37363676989897,1,True,True,54.132107437656416,DOWN,False,oversold,in_sample
2020-03-09 05:15:00,7720.19,18.48626231207882,365.02987620771046,58.17214343170292,232.5331371378171,4,True,True,84.09054699430959,DOWN,False,oversold,in_sample
2020-03-11 17:00:00,7672.68,16.126875649977762,221.98241031816744,107.75895775661215,215.46578249060263,10,True,True,53.46958298795207,DOWN,False,oversold,in_sample
2020-03-12 02:00:00,7645.78,13.44075359444723,160.83381944026672,114.80843027133889,-62.7012548098423,2,True,True,73.64193058131393,DOWN,False,oversold,in_sample
2020-03-12 08:00:00,7340.02,16.92919445869674,171.63440971550426,1403.29317903766,-1342.1489314743014,2,True,True,84.5638022784678,DOWN,False,oversold,in_sample
2020-03-12 09:00:00,7352.46,18.975303292894168,44.202892637294184,2451.506026554378,-2179.257010578772,3,True,True,88.47582985830579,DOWN,False,oversold,in_sample
2020-03-12 10:30:00,6354.88,8.561660135488836,668.9662117931415,1266.5542071604816,-522.2757943501696,1,True,True,175.16538471222097,DOWN,False,oversold,in_sample
2020-03-12 20:45:00,5743.43,19.520563612242114,387.01612102872275,1839.3712467985163,-1120.2539249194292,5,True,True,181.40640697283672,DOWN,False,oversold,in_sample
2020-03-12 23:15:00,5100.02,18.706227174704082,192.0776781267507,1996.1098191771803,-1900.7376441661015,1,True,True,367.03973709907007,DOWN,False,oversold,in_sample
2020-03-13 00:30:00,4660.0,19.776483440729578,1323.9699570815455,1883.841201716738,797.6824034334769,9,True,True,545.010729613734,DOWN,False,oversold,in_sample
2020-03-13 01:00:00,4612.4,19.6329254727475,1974.7419998265545,1800.0823866100068,1103.7854479229916,9,True,True,569.1472985864194,DOWN,False,oversold,in_sample
2020-03-14 22:00:00,5268.95,19.733555370524613,129.11490904259813,405.81140454929294,-49.45956974349632,3,True,True,105.77914005636794,DOWN,False,oversold,in_sample
2020-03-16 01:15:00,5299.87,18.14873417721519,122.85206995643227,94.09664765362149,-50.05783160718988,3,True,True,279.0804302747048,DOWN,False,oversold,in_sample
2020-03-16 06:00:00,5020.53,19.94733918910569,68.35931664585337,485.06830952110585,-310.60465727721896,3,True,True,120.52213610913563,DOWN,False,oversold,in_sample
2020-03-16 07:45:00,4785.67,12.851017750267033,343.37929694274766,638.7193433730284,-469.86106438596823,4,True,True,177.2385057891578,DOWN,False,oversold,in_sample
2020-03-18 06:30:00,5214.76,17.842510936740595,91.83548236160325,270.78906795327117,-6.788423628316478,1,True,True,80.81867621903976,DOWN,False,oversold,in_sample
2020-03-18 08:00:00,5145.4,19.160063029527905,199.4014070820546,261.2430520464883,-25.10980681774026,4,True,True,103.90445835114853,DOWN,False,oversold,in_sample
2020-03-20 20:15:00,5863.61,16.948723553571668,872.1248514140609,330.1890814702883,509.05500195272316,7,True,True,187.59944812154973,DOWN,False,oversold,in_sample
2020-03-22 12:00:00,6021.74,19.82730242333696,206.6844466881666,177.25773613606663,-7.5061361001961675,5,True,True,102.70702487985199,DOWN,False,oversold,in_sample
2020-03-22 13:00:00,6045.15,19.80768267641598,167.1587967213389,182.2121866289499,-16.24442735085103,1,True,True,121.06812899597192,DOWN,False,oversold,in_sample
2020-03-27 23:30:00,6339.0,15.801691642916253,87.00110427512169,219.2774885628648,-106.65720145133251,1,True,True,63.26076668244213,DOWN,False,oversold,in_sample
2020-03-28 17:45:00,6025.79,18.26990838618751,421.8699954694738,2.9705648553964936,395.46681845865885,10,True,True,65.24289761176571,DOWN,False,oversold,in_sample
2020-03-29 05:30:00,6178.0,19.79645894325931,11.330527678860474,126.25445127873098,-108.53026869537096,1,True,False,32.359987050825524,DOWN,False,oversold,in_sample
2020-03-29 19:30:00,5917.13,16.352974557835992,79.09239783476141,85.46372988256081,2.9237147062842346,4,True,True,59.59561476594224,DOWN,False,oversold,in_sample
2020-03-29 20:15:00,5889.91,19.202042166966123,125.67254847697238,25.314478489484312,48.09920694883271,1,True,True,70.98155998988082,DOWN,False,oversold,in_sample
2020-04-01 00:15:00,6270.68,13.747881824209998,92.27069472529243,49.978630706717844,74.50547628008341,2,True,True,54.598544336499224,DOWN,False,oversold,in_sample
2020-04-02 20:45:00,6739.44,19.161377621701618,190.7131749818986,44.187647638379076,43.119309616229835,7,True,True,148.30683261517288,DOWN,False,oversold,in_sample
2020-04-03 14:15:00,6813.43,15.292744869242824,21.38423672071146,310.1668322709706,-90.21887654235863,4,True,True,88.57579809288401,DOWN,False,oversold,in_sample
2020-04-03 15:15:00,6710.35,17.93199712110973,148.8595974874625,161.31796404062382,9.254360800852467,7,True,True,99.37410120187465,DOWN,False,oversold,in_sample
2020-04-05 04:00:00,6774.1,15.295871410979146,97.28229580313199,44.433946944982154,-19.27931385719195,6,True,True,45.91015780694094,DOWN,False,oversold,in_sample
