timestamp,wallet_usd,btc_price,signal_type,action,qty,position_usd,margin_usd,risk_pct,safety_stop_bps,health_multiplier,skip_reason,pnl_bps,pnl_usd,reasoning
2026-02-15T12:59:58.040997,5.00,69284.90,V12_LONG,TRADE,0.0020,138.57,1.11,2.3973,192.5,1.00,,16.50,0.2286,"Exchange min: 0.002 BTC, margin $1.11 | Health multiplier: 1.00 | Risk budget: $0.50 base × 1.00 = $0.50 | Raw qty: 0.0000 BTC (position $5.78) | Rounded up to exchange min: 0.002 BTC | Position: 0.002 BTC ($138.57) | Margin: $1.11 | Risk: 239.7% of wallet (worst case) | Liq distance: 321 bps | Safety stop: 192 bps (60% of liq)"
2026-02-16T09:44:59.764806,5.23,68989.60,V12_SHORT,TRADE,0.0020,137.98,1.10,2.2827,203.4,1.00,,83.96,1.1584,"Exchange min: 0.002 BTC, margin $1.10 | Health multiplier: 1.00 | Risk budget: $0.52 base × 1.00 = $0.52 | Raw qty: 0.0000 BTC (position $6.04) | Rounded up to exchange min: 0.002 BTC | Position: 0.002 BTC ($137.98) | Margin: $1.10 | Risk: 228.3% of wallet (worst case) | Liq distance: 339 bps | Safety stop: 203 bps (60% of liq)"
