signal_time,entry_time,exit_time,direction,entry_price,gross_profit_bps,net_profit_bps,mfe_bps,mae_bps,exit_bar,exit_reason,strategy
2024-01-06 10:30:00,2024-01-06 10:45:00,2024-01-06 13:15:00,SHORT,43722.86,14.734036154085935,6.734036154085935,44.734036154085935,-6.207279212750359,10,TRAILING_STOP,MACD Divergence
2024-01-06 13:45:00,2024-01-06 14:00:00,2024-01-06 16:30:00,SHORT,43704.08,-42.735140517772436,-50.735140517772436,0.0,-62.8545435574887,10,TIME_EXIT,MACD Divergence
2024-01-06 17:30:00,2024-01-06 17:45:00,2024-01-06 18:30:00,SHORT,43961.26,-12.43453440597445,-20.43453440597445,17.56546559402555,-27.010144841161956,3,TRAILING_STOP,MACD Divergence
2024-01-06 23:45:00,2024-01-07 00:00:00,2024-01-07 00:30:00,SHORT,43968.32,-18.00045123397891,-26.00045123397891,11.999548766021089,-52.692484043056524,2,TRAILING_STOP,MACD Divergence
2024-01-07 05:45:00,2024-01-07 06:00:00,2024-01-07 06:15:00,LONG,43885.48,26.149660434384863,18.149660434384863,46.14966043438486,0.0,1,TRAILING_STOP,MACD Divergence
2024-01-07 08:30:00,2024-01-07 08:45:00,2024-01-07 11:15:00,SHORT,44098.0,19.28794956687345,11.28794956687345,49.28794956687345,0.0,10,TRAILING_STOP,MACD Divergence
2024-01-07 12:30:00,2024-01-07 12:45:00,2024-01-07 13:00:00,SHORT,44127.99,-19.727608259520892,-27.727608259520892,10.27239174047911,-27.59473069133765,1,TRAILING_STOP,MACD Divergence
2024-01-07 17:00:00,2024-01-07 17:15:00,2024-01-07 19:00:00,LONG,44030.08,13.15006468305284,5.15006468305284,33.15006468305284,-20.22480994810886,7,TRAILING_STOP,MACD Divergence
2024-01-07 20:15:00,2024-01-07 20:30:00,2024-01-07 21:15:00,SHORT,44204.65,-8.690024691971466,-16.690024691971466,21.309975308028534,-10.032881156167631,3,TRAILING_STOP,MACD Divergence
2024-01-08 01:00:00,2024-01-08 01:15:00,2024-01-08 03:45:00,LONG,43806.72,-65.86204125759794,-73.86204125759794,0.0,-144.20618571762532,10,TIME_EXIT,MACD Divergence
2024-01-08 11:15:00,2024-01-08 11:30:00,2024-01-08 14:00:00,SHORT,44196.7,-176.46340111365862,-184.46340111365862,0.0,-227.0078987797738,10,TIME_EXIT,MACD Divergence
