config,gate,signal,dataset,trades,long,short,win_pct,total_bps,pf,long_bps,short_bps,avg_bps,max_dd
ATR_Q50+EMA_Q50__ROC5_-0.3_0.3,ATR_Q50+EMA_Q50,ROC5_-0.3_0.3,TRAIN,9029,4489,4540,64.82445453538598,174983.259158913,1.9698191540717596,93402.81118266765,81580.44797624537,19.380137242099124,-1993.4981606257525
ATR_Q50+EMA_Q50__ROC5_-0.5_0.5,ATR_Q50+EMA_Q50,ROC5_-0.5_0.5,TRAIN,7843,3899,3944,66.54341450975392,169453.5395956527,2.07681020120461,91210.47454964377,78243.06504600891,21.60570439827269,-1996.3923129349914
ATR_Q50+EMA_Q50__RPOS_0.2_0.8,ATR_Q50+EMA_Q50,RPOS_0.2_0.8,TRAIN,7956,3727,4229,62.66968325791855,160027.91597498063,2.0128918413336687,85564.51113409,74463.40484089064,20.1141171411489,-3445.8614342273913
ATR_Q50+EMA_Q50__RPOS_0.3_0.7,ATR_Q50+EMA_Q50,RPOS_0.3_0.7,TRAIN,9209,4478,4731,63.26419806710827,190150.82612859074,2.033971872011381,102072.34076639009,88078.48536220065,20.64836856646658,-4236.4458413025095
ATR_Q75+RANGE_Q50__RSI7_20_80,ATR_Q75+RANGE_Q50,RSI7_20_80,TRAIN,3215,1754,1461,70.2954898911353,87114.55809258111,2.159086155489637,56686.50401815307,30428.054074428022,27.096285565344047,-4759.496433862054
ATR_Q75+RANGE_Q50__RSI7_25_75,ATR_Q75+RANGE_Q50,RSI7_25_75,TRAIN,4384,2329,2055,69.9361313868613,118652.98635802319,2.2386040720052702,74034.20159912316,44618.78475890004,27.065006012322808,-4264.8801433413555
ATR_Q75+RANGE_Q50__RSI7_30_70,ATR_Q75+RANGE_Q50,RSI7_30_70,TRAIN,5439,2851,2588,69.31421217135502,136860.5424020999,2.133899495803756,80884.37383345279,55976.16856864713,25.1628134587424,-4704.17953963292
ATR_Q75+RANGE_Q50__RSI7_35_65,ATR_Q75+RANGE_Q50,RSI7_35_65,TRAIN,6338,3255,3083,68.66519406752919,159548.3748975146,2.162312557166332,89441.81120547147,70106.56369204311,25.173299920718616,-4326.6678070569415
ATR_Q75+RANGE_Q50__EMA9D_-0.3_0.3,ATR_Q75+RANGE_Q50,EMA9D_-0.3_0.3,TRAIN,6642,3427,3215,68.69918699186992,166877.10191175187,2.1250386398846106,97199.66982149336,69677.43209025852,25.124526033085196,-3822.8942831112117
ATR_Q75+RANGE_Q50__EMA9D_-0.2_0.2,ATR_Q75+RANGE_Q50,EMA9D_-0.2_0.2,TRAIN,7240,3733,3507,68.10773480662984,175764.62458129687,2.1130410012869043,102948.16441654279,72816.46016475405,24.276881848245424,-3610.253721248828
ATR_Q75+RANGE_Q50__EMA9D_-0.5_0.5,ATR_Q75+RANGE_Q50,EMA9D_-0.5_0.5,TRAIN,5217,2766,2451,70.48111941728963,141942.34201555204,2.154775448377456,88725.6952673055,53216.64674824653,27.207656127190347,-4359.1828569689005
ATR_Q75+RANGE_Q50__ROC5_-0.3_0.3,ATR_Q75+RANGE_Q50,ROC5_-0.3_0.3,TRAIN,7307,3751,3556,67.71588887368277,176923.872002448,2.1106676505845803,96099.55283703665,80824.31916541135,24.212928972553442,-1991.8456235907015
ATR_Q75+RANGE_Q50__ROC5_-0.5_0.5,ATR_Q75+RANGE_Q50,ROC5_-0.5_0.5,TRAIN,6659,3414,3245,68.19342243580118,162630.93205757596,2.0998909083861337,90173.62317492132,72457.30888265463,24.422725943471388,-2023.4216972284103
ATR_Q75+RANGE_Q50__RPOS_0.2_0.8,ATR_Q75+RANGE_Q50,RPOS_0.2_0.8,TRAIN,6044,2843,3201,66.47915287888814,147915.01798659825,2.068479634377239,81322.98271167112,66592.03527492711,24.47303408117112,-3709.681267918347
ATR_Q75+RANGE_Q50__RPOS_0.3_0.7,ATR_Q75+RANGE_Q50,RPOS_0.3_0.7,TRAIN,7092,3435,3657,66.45516074450084,179680.08553788118,2.112602530522901,96946.41879197976,82733.66674590143,25.335601457682063,-4236.4458413025095
NO_GATE__RSI7_20_80,NO_GATE,RSI7_20_80,OOS,4629,2294,2335,56.621300496867576,29952.458365815568,1.4102586830268948,16763.27769826995,13189.180667545614,6.470611010113538,-1566.4549104514626
NO_GATE__RSI7_25_75,NO_GATE,RSI7_25_75,OOS,6349,3134,3215,55.94581823909277,42105.53856280574,1.4319371091954314,24355.556973670828,17749.981589134914,6.631837858372301,-1601.3276906739047
NO_GATE__RSI7_30_70,NO_GATE,RSI7_30_70,OOS,7847,3880,3967,54.87447432139672,46027.95489254259,1.381704399835478,25866.748995929785,20161.205896612802,5.865675403662877,-1712.191603048108
NO_GATE__RSI7_35_65,NO_GATE,RSI7_35_65,OOS,9012,4440,4572,54.30537061695517,50371.78876170346,1.357114467023745,25942.380954419372,24429.40780728409,5.5894128674770815,-2141.273612991179
NO_GATE__EMA9D_-0.3_0.3,NO_GATE,EMA9D_-0.3_0.3,OOS,5136,2531,2605,58.91744548286605,43134.194109051576,1.4674359099985899,23680.947459128092,19453.246649923487,8.398402279799761,-1367.0170880005444
NO_GATE__EMA9D_-0.2_0.2,NO_GATE,EMA9D_-0.2_0.2,OOS,7349,3595,3754,55.81711797523473,51664.47523064498,1.4189110829874771,25261.698736232494,26402.776494412486,7.030136784684308,-1485.574993709215
NO_GATE__EMA9D_-0.5_0.5,NO_GATE,EMA9D_-0.5_0.5,OOS,2535,1316,1219,60.78895463510848,27701.143908440215,1.4996334400826747,17653.385159735677,10047.758748704538,10.927472942185489,-1548.1482082401199
NO_GATE__ROC5_-0.3_0.3,NO_GATE,ROC5_-0.3_0.3,OOS,7800,3762,4038,55.65384615384615,57441.43736603508,1.45246771086439,28248.846779569234,29192.59058646585,7.36428684179937,-1686.3160061950912
NO_GATE__ROC5_-0.5_0.5,NO_GATE,ROC5_-0.5_0.5,OOS,5259,2524,2735,57.2352158204982,47120.49401731482,1.5212550152792794,25280.120623535717,21840.37339377911,8.959972241360491,-1619.3046278413167
NO_GATE__RPOS_0.2_0.8,NO_GATE,RPOS_0.2_0.8,OOS,9310,4458,4852,53.03974221267455,57064.82595057279,1.4059334406205863,29208.680814788913,27856.145135783874,6.129412024766143,-1590.8149986070014
NO_GATE__RPOS_0.3_0.7,NO_GATE,RPOS_0.3_0.7,OOS,10061,4821,5240,53.57320345890071,63444.349454033465,1.4147853232727852,31053.34982098103,32390.999633052434,6.3059685373256595,-1286.6735366565845
ACTIVE_TREND__RSI7_20_80,ACTIVE_TREND,RSI7_20_80,OOS,1056,554,502,64.10984848484848,14546.247970298959,1.6664206355510092,10470.340463852583,4075.907506446376,13.774856032480074,-1003.5784137617338
ACTIVE_TREND__RSI7_25_75,ACTIVE_TREND,RSI7_25_75,OOS,1418,726,692,62.83497884344147,20451.219681706192,1.7218988166457658,13976.5829633504,6474.636718355792,14.422580875674324,-1026.6961164133609
ACTIVE_TREND__RSI7_30_70,ACTIVE_TREND,RSI7_30_70,OOS,1734,871,863,61.418685121107266,21524.26128911011,1.5904230891922626,15248.71045632055,6275.550832789557,12.413068794181147,-2335.02106402775
ACTIVE_TREND__RSI7_35_65,ACTIVE_TREND,RSI7_35_65,OOS,2038,1013,1025,60.79489695780177,26116.64899164906,1.6131359305299922,14959.412854044533,11157.23613760453,12.814842488542228,-1668.0023801186035
ACTIVE_TREND__EMA9D_-0.3_0.3,ACTIVE_TREND,EMA9D_-0.3_0.3,OOS,1900,945,955,61.578947368421055,24562.37749713965,1.6008664268012505,14494.569412691513,10067.808084448134,12.92756710375771,-2400.1353945664105
ACTIVE_TREND__EMA9D_-0.2_0.2,ACTIVE_TREND,EMA9D_-0.2_0.2,OOS,2174,1061,1113,60.11959521619136,26663.868367286712,1.5853505824414675,13696.234160644284,12967.63420664243,12.264888853397752,-2560.092195616364
ACTIVE_TREND__EMA9D_-0.5_0.5,ACTIVE_TREND,EMA9D_-0.5_0.5,OOS,1272,672,600,63.20754716981132,20904.850555560133,1.7331764710512068,15098.197781217325,5806.65277434281,16.434630939905766,-1743.3657084113984
ACTIVE_TREND__ROC5_-0.3_0.3,ACTIVE_TREND,ROC5_-0.3_0.3,OOS,2279,1139,1140,60.81614743308469,34519.77964906859,1.781163257214524,19940.093038185205,14579.686610883391,15.14689760819157,-1858.8928117375162
ACTIVE_TREND__ROC5_-0.5_0.5,ACTIVE_TREND,ROC5_-0.5_0.5,OOS,1925,954,971,61.038961038961034,29466.59129518268,1.759150170561477,17132.45329960851,12334.13799557417,15.307320153341651,-1688.1102752231764
ACTIVE_TREND__RPOS_0.2_0.8,ACTIVE_TREND,RPOS_0.2_0.8,OOS,2095,1025,1070,59.52267303102625,26745.168020738565,1.6773752944257387,14574.43274004256,12170.735280696008,12.766189986032728,-1118.8627921176594
ACTIVE_TREND__RPOS_0.3_0.7,ACTIVE_TREND,RPOS_0.3_0.7,OOS,2323,1178,1145,59.79337064141197,29979.270923894357,1.6711415903977986,18956.83846925928,11022.432454635078,12.905411504044062,-926.5796369148111
ACTIVE_ANY__RSI7_20_80,ACTIVE_ANY,RSI7_20_80,OOS,1685,899,786,63.32344213649852,18700.99214006268,1.5140633382550615,13494.886654242056,5206.105485820625,11.098511655823549,-1149.674617986877
ACTIVE_ANY__RSI7_25_75,ACTIVE_ANY,RSI7_25_75,OOS,2246,1177,1069,62.06589492430988,26284.782215665236,1.5776725821724122,17817.84243103403,8466.939784631208,11.70293063920981,-1372.2668414378313
ACTIVE_ANY__RSI7_30_70,ACTIVE_ANY,RSI7_30_70,OOS,2764,1423,1341,60.85383502170767,29392.79718910054,1.5155649951071772,19056.40831058399,10336.388878516555,10.63415238390034,-1970.0232359153943
ACTIVE_ANY__RSI7_35_65,ACTIVE_ANY,RSI7_35_65,OOS,3232,1631,1601,60.581683168316836,35353.876292414054,1.532206499700745,20119.475352770976,15234.400939643074,10.938699347900387,-1396.9059547987054
ACTIVE_ANY__EMA9D_-0.3_0.3,ACTIVE_ANY,EMA9D_-0.3_0.3,OOS,2979,1533,1446,61.56428331654917,32700.11991925381,1.5239230935348012,19052.90221063786,13647.217708615946,10.976878119924072,-1413.3319456291065
ACTIVE_ANY__EMA9D_-0.2_0.2,ACTIVE_ANY,EMA9D_-0.2_0.2,OOS,3416,1720,1696,60.2751756440281,36147.85500803728,1.5074304289450737,18777.948085540927,17369.906922496357,10.581924768160796,-1918.9853237420793
ACTIVE_ANY__EMA9D_-0.5_0.5,ACTIVE_ANY,EMA9D_-0.5_0.5,OOS,1982,1066,916,62.058526740666,24510.375971725545,1.5293415384206277,16896.224946862938,7614.151024862607,12.366486363130951,-1533.3437064492937
ACTIVE_ANY__ROC5_-0.3_0.3,ACTIVE_ANY,ROC5_-0.3_0.3,OOS,3594,1791,1803,59.9053978853645,43255.70002169479,1.6143684042171984,23639.896346320827,19615.80367537396,12.035531447327433,-1801.7505183125522
ACTIVE_ANY__ROC5_-0.5_0.5,ACTIVE_ANY,ROC5_-0.5_0.5,OOS,3058,1536,1522,60.5624591236102,37450.94141059938,1.6087116140708728,21465.64446348035,15985.29694711903,12.246874234989987,-1988.8856088551656
ACTIVE_ANY__RPOS_0.2_0.8,ACTIVE_ANY,RPOS_0.2_0.8,OOS,3323,1606,1717,58.62172735479988,36518.97310033151,1.5655505404144723,17943.880576158204,18575.092524173306,10.989760186678156,-1174.210643225655
ACTIVE_ANY__RPOS_0.3_0.7,ACTIVE_ANY,RPOS_0.3_0.7,OOS,3678,1828,1850,58.97226753670473,41761.732050700695,1.5868096426612317,23308.662662010334,18453.06938869036,11.354467659244344,-1069.947684133736
ATR_Q50__RSI7_20_80,ATR_Q50,RSI7_20_80,OOS,2750,1396,1354,60.87272727272727,26454.646978679564,1.5161652383219524,15341.888960859744,11112.75801781982,9.61987162861075,-847.0072323758995
ATR_Q50__RSI7_25_75,ATR_Q50,RSI7_25_75,OOS,3741,1887,1854,59.79684576316493,37488.4791962616,1.5632092126984138,22483.97362484983,15004.505571411766,10.020978133189415,-1625.9425262237019
ATR_Q50__RSI7_30_70,ATR_Q50,RSI7_30_70,OOS,4625,2333,2292,58.118918918918915,39687.46069409931,1.4767528139638721,23983.973525181907,15703.487168917414,8.581072582507959,-1555.9970205748796
ATR_Q50__RSI7_35_65,ATR_Q50,RSI7_35_65,OOS,5415,2684,2731,57.50692520775623,45700.2152213734,1.4662014106575827,25448.713394714076,20251.501826659318,8.439559597668218,-1177.934711009555
ATR_Q50__EMA9D_-0.3_0.3,ATR_Q50,EMA9D_-0.3_0.3,OOS,4267,2143,2124,59.78439184438715,40989.409125500526,1.505983788338806,22771.074546340893,18218.334579159633,9.606142283923255,-1269.5183104993794
ATR_Q50__EMA9D_-0.2_0.2,ATR_Q50,EMA9D_-0.2_0.2,OOS,5375,2666,2709,57.91627906976744,46130.09632499603,1.4638700618770923,24554.295585598556,21575.800739397477,8.582343502324843,-1786.8218277123997
ATR_Q50__EMA9D_-0.5_0.5,ATR_Q50,EMA9D_-0.5_0.5,OOS,2429,1274,1155,61.21860848085632,27909.512038789726,1.521854112255848,18242.664857470263,9666.847181319465,11.490124346969834,-1548.1482082401199
ATR_Q50__ROC5_-0.3_0.3,ATR_Q50,ROC5_-0.3_0.3,OOS,5543,2708,2835,57.802633952733174,52961.45681761636,1.5353732185392073,27148.071091887607,25813.385725728745,9.554655749164056,-1667.3321862810335
ATR_Q50__ROC5_-0.5_0.5,ATR_Q50,ROC5_-0.5_0.5,OOS,4397,2152,2245,58.81282692745054,45264.9277748944,1.5690855251882434,25290.40935268194,19974.51842221246,10.294502564224334,-1529.8388272926932
ATR_Q50__RPOS_0.2_0.8,ATR_Q50,RPOS_0.2_0.8,OOS,5507,2593,2914,57.05465770837116,52339.99290678842,1.5591286762175298,26279.01935011843,26060.973556669996,9.504266008132998,-1199.2637421134423
ATR_Q50__RPOS_0.3_0.7,ATR_Q50,RPOS_0.3_0.7,OOS,6062,2915,3147,56.49950511382382,56517.98544530023,1.5377291151247023,29817.164087703008,26700.82135759722,9.323323234130688,-1127.1091755401822
ATR_Q75__RSI7_20_80,ATR_Q75,RSI7_20_80,OOS,1547,831,716,63.08985132514544,17765.08207519518,1.5305973267490072,13203.176002521956,4561.906072673224,11.483569537941293,-1149.674617986877
ATR_Q75__RSI7_25_75,ATR_Q75,RSI7_25_75,OOS,2061,1092,969,62.63949539058709,26664.317119928688,1.6417705999650596,18570.667692142757,8093.64942778593,12.937562891765497,-1072.2099783879548
ATR_Q75__RSI7_30_70,ATR_Q75,RSI7_30_70,OOS,2537,1303,1234,61.41111549073709,27884.484203073043,1.5224040608346479,18585.395107983106,9299.089095089941,10.991125030773766,-1691.7198846178944
ATR_Q75__RSI7_35_65,ATR_Q75,RSI7_35_65,OOS,2981,1495,1486,60.91915464609191,34517.05960336713,1.5682442139758315,19732.648173417867,14784.411429949272,11.579020329878272,-1282.4674159502647
ATR_Q75__EMA9D_-0.3_0.3,ATR_Q75,EMA9D_-0.3_0.3,OOS,2800,1441,1359,62.142857142857146,33118.02171608508,1.5710132711377773,19929.27829785314,13188.743418231938,11.827864898601815,-1230.8632432375034
ATR_Q75__EMA9D_-0.2_0.2,ATR_Q75,EMA9D_-0.2_0.2,OOS,3184,1593,1591,60.30150753768844,34952.66883240006,1.526919173668166,18466.704501540356,16485.964330859704,10.977596995100521,-1719.9723463414848
ATR_Q75__EMA9D_-0.5_0.5,ATR_Q75,EMA9D_-0.5_0.5,OOS,1886,1011,875,61.717921527041355,23321.176784565054,1.5204419791153883,16003.91286075901,7317.263923806044,12.365417171031313,-1533.3437064492937
ATR_Q75__ROC5_-0.3_0.3,ATR_Q75,ROC5_-0.3_0.3,OOS,3306,1665,1641,60.98003629764065,43506.86901140332,1.6801365955446472,24233.5202446476,19273.348766755724,13.159972477738453,-1502.3394881665026
ATR_Q75__ROC5_-0.5_0.5,ATR_Q75,ROC5_-0.5_0.5,OOS,2851,1429,1422,61.101367941073306,36810.8455775895,1.636642880088311,21010.275100872266,15800.57047671723,12.911555797120133,-1525.4878822940664
ATR_Q75__RPOS_0.2_0.8,ATR_Q75,RPOS_0.2_0.8,OOS,3043,1454,1589,59.51363785737759,37696.66247936401,1.6467984494571666,17892.512780185956,19804.14969917805,12.387992927822546,-1405.683527626763
ATR_Q75__RPOS_0.3_0.7,ATR_Q75,RPOS_0.3_0.7,OOS,3385,1644,1741,59.37961595273264,40520.342065882935,1.6118127269466613,21334.373823154263,19185.968242728675,11.970558955947691,-1069.9476841337364
ATR_Q50+EMA_Q50__RSI7_20_80,ATR_Q50+EMA_Q50,RSI7_20_80,OOS,1744,866,878,61.98394495412845,18220.24763278976,1.5703470684538903,12616.415065113055,5603.832567676705,10.447389697700551,-1108.7093795683722
ATR_Q50+EMA_Q50__RSI7_25_75,ATR_Q50+EMA_Q50,RSI7_25_75,OOS,2402,1182,1220,61.240632805995,27999.36566820117,1.667365296705514,18015.010727418845,9984.354940782327,11.6566884547049,-1626.5753609631101
ATR_Q50+EMA_Q50__RSI7_30_70,ATR_Q50+EMA_Q50,RSI7_30_70,OOS,2992,1476,1516,59.42513368983957,29943.318077475404,1.5643119342100058,19614.52886492169,10328.789212553716,10.007793475092047,-1555.9970205748796
ATR_Q50+EMA_Q50__RSI7_35_65,ATR_Q50+EMA_Q50,RSI7_35_65,OOS,3540,1748,1792,59.43502824858757,38022.81038340928,1.6135978234884656,22462.822165814832,15559.988217594457,10.740906887968723,-1146.218188478353
ATR_Q50+EMA_Q50__EMA9D_-0.3_0.3,ATR_Q50+EMA_Q50,EMA9D_-0.3_0.3,OOS,2816,1371,1445,60.83096590909091,31813.060868793582,1.6002953945101468,18123.23156897808,13689.829299815503,11.297251728974993,-1276.4125950479793
ATR_Q50+EMA_Q50__EMA9D_-0.2_0.2,ATR_Q50+EMA_Q50,EMA9D_-0.2_0.2,OOS,3527,1704,1823,59.2571590586901,36881.94924523546,1.5671602044179616,19740.235728582204,17141.71351665326,10.457031257509346,-1718.8638682559958
ATR_Q50+EMA_Q50__EMA9D_-0.5_0.5,ATR_Q50+EMA_Q50,EMA9D_-0.5_0.5,OOS,1616,813,803,62.066831683168324,22153.700220898005,1.630974442658165,14467.99680075147,7685.703420146532,13.708972908971537,-1427.55392208589
ATR_Q50+EMA_Q50__ROC5_-0.3_0.3,ATR_Q50+EMA_Q50,ROC5_-0.3_0.3,OOS,3649,1786,1863,59.44094272403399,42940.676598861086,1.6822209886298982,23962.14869578463,18978.527903076458,11.767792984067166,-1453.6852083158483
ATR_Q50+EMA_Q50__ROC5_-0.5_0.5,ATR_Q50+EMA_Q50,ROC5_-0.5_0.5,OOS,2871,1383,1488,59.735283873214904,34560.276734546394,1.661746744781293,19692.58591822503,14867.690816321363,12.037713944460604,-1342.6610970383808
ATR_Q50+EMA_Q50__RPOS_0.2_0.8,ATR_Q50+EMA_Q50,RPOS_0.2_0.8,OOS,3600,1725,1875,58.19444444444445,41018.07418514856,1.6995906541804662,22256.606258866268,18761.46792628229,11.393909495874599,-1199.2637421134386
ATR_Q50+EMA_Q50__RPOS_0.3_0.7,ATR_Q50+EMA_Q50,RPOS_0.3_0.7,OOS,3974,1935,2039,57.92652239557121,43843.44117260569,1.6698898096684338,24180.013727606347,19663.427444999354,11.032572011224381,-1165.831870190631
ATR_Q75+RANGE_Q50__RSI7_20_80,ATR_Q75+RANGE_Q50,RSI7_20_80,OOS,1543,830,713,63.12378483473753,17963.100377332965,1.5384962757853795,13262.82660862236,4700.2737687106055,11.641672311946186,-1149.674617986877
