horizon,norm_window,min_expectancy,max_distance,k,min_mfe,max_bars_in_trade,sample_interval,blocked_regimes,total_pnl,total_pnl_pct,win_rate,total_trades,profit_factor,max_drawdown_pct,sharpe,expectancy,long_trades,short_trades,long_pnl,short_pnl
3,180,0.0,4.0,100,0.002,0,1,NONE,0.6450642073903745,0.6450642073903745,100.0,8,99.99,0.0,8.341735840510061,0.08063302592379681,8,0,0.6450642073903745,0.0
3,180,0.0,4.0,100,0.002,0,3,NONE,0.24721023067526557,0.24721023067526557,100.0,3,99.99,0.0,6.4872810632798075,0.08240341022508853,3,0,0.24721023067526557,0.0
3,180,0.0,3.0,100,0.002,0,1,NONE,0.2172253606825429,0.21722536068254286,100.0,3,99.99,0.0,10.335265487920564,0.07240845356084763,3,0,0.2172253606825429,0.0
3,180,0.0,3.0,100,0.002,0,3,NONE,0.15148048433449196,0.15148048433449196,100.0,2,99.99,0.0,10.093303340352692,0.07574024216724598,2,0,0.15148048433449196,0.0
3,180,0.0,3.0,150,0.002,5,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,150,0.002,5,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,150,0.002,0,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,150,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,200,0.002,3,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,200,0.002,3,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,200,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,200,0.002,5,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,200,0.002,0,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,200,0.002,5,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,200,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,200,0.002,5,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,150,0.002,5,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,150,0.002,3,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,150,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,150,0.002,5,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,150,0.002,0,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,150,0.002,3,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,150,0.002,3,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,3.0,150,0.002,3,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,5.0,200,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,5.0,200,0.002,0,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,200,0.002,5,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,200,0.002,3,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,200,0.002,3,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,4.0,200,0.002,0,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,5.0,200,0.002,3,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,5.0,200,0.002,3,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,5.0,200,0.002,5,1,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,5.0,200,0.002,5,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,180,0.0,5.0,150,0.002,5,1,NONE,-0.004551247201709671,-0.004551247201709671,50.0,2,0.9456358144836086,0.08371774833888423,-0.019757697687388928,-0.0022756236008548356,2,0,-0.004551247201709671,0.0
3,180,0.0,5.0,150,0.002,3,1,NONE,-0.05576867508615703,-0.05576867508615704,50.0,2,0.5867002463919848,0.13493517622333684,-0.18418542450188727,-0.027884337543078515,2,0,-0.05576867508615703,0.0
3,180,0.0,5.0,150,0.002,5,3,NONE,-0.08371774833888415,-0.08371774833888415,0.0,1,0.0,0.08371774833888423,0.0,-0.08371774833888415,1,0,-0.08371774833888415,0.0
3,180,0.0,5.0,150,0.002,3,3,NONE,-0.1349351762233315,-0.1349351762233315,0.0,1,0.0,0.13493517622333684,0.0,-0.1349351762233315,1,0,-0.1349351762233315,0.0
3,180,0.0,3.0,100,0.002,3,3,NONE,-0.20042061176338555,-0.20042061176338555,0.0,2,0.0,0.20042061176339132,-2.7189496069245744,-0.10021030588169277,2,0,-0.20042061176338555,0.0
3,180,0.0,3.0,100,0.002,5,3,NONE,-0.20477618054394225,-0.20477618054394225,50.0,2,0.000914358855020542,0.20496359081816706,-0.7058148637690321,-0.10238809027197113,2,0,-0.20477618054394225,0.0
3,180,0.0,4.0,100,0.002,5,3,NONE,-0.24513095365108556,-0.2451309536510856,33.33333333333333,3,0.0007639471877386911,0.24531836392530693,-0.752062838729218,-0.08171031788369519,3,0,-0.24513095365108556,0.0
3,180,0.0,4.0,100,0.002,3,3,NONE,-0.27042951747335464,-0.27042951747335464,0.0,3,0.0,0.2704295174733602,-2.8747794638865116,-0.09014317249111821,3,0,-0.27042951747335464,0.0
3,180,0.0,5.0,100,0.002,5,3,NONE,-0.32884870198996974,-0.32884870198996974,25.0,4,0.0005695735733435809,0.32903611226419116,-0.9266830151461135,-0.08221217549749243,4,0,-0.32884870198996974,0.0
