timestamp,entry_price,rsi_value,mfe_bps,mae_bps,volume_ratio,volatility_pct,momentum_5_bps,momentum_10_bps,dist_sma20_pct,dist_sma50_pct,hour,dayofweek,success
2024-02-26 15:00:00,51925.89,81.42497520787248,0.0,331.59181287022716,3.3994827764586693,0.26753651075737594,136.13320710151564,146.53355997607503,1.2409293069763307,1.1202687406433698,15,0,False
2024-05-24 17:15:00,68555.98,83.34190069079933,0.0,101.23405718946825,0.7336107901986462,0.4595254022437454,71.90610834633321,101.15003091227457,1.0047720628698344,1.552846516334324,17,4,False
2024-07-19 18:45:00,66787.99,86.01351451112063,0.0,89.538553263842,0.48550972447809904,0.44159243942767884,34.21561667812324,64.49517781796342,0.965135715119006,2.94031606263744,18,4,False
2024-07-25 23:30:00,65688.01,82.23576901864588,0.0,134.2710793035137,0.28703235879514094,0.35531707275911756,-21.87385741374143,41.89012166969127,0.5899097791123775,1.3043194401438605,23,3,False
2024-08-20 02:30:00,60412.26,83.3514004604535,0.0,97.28819944825734,0.3916263555039123,0.5112964062025056,-24.395640686921727,169.04457312146545,0.9678512070663648,1.991757139053784,2,1,False
2025-01-20 06:30:00,104689.49,83.6732556434551,-0.041073846094103146,467.9084786830077,2.161824457641883,0.5780550245710998,215.60107185781993,284.9188893294501,2.546737465629129,1.7385695062177549,6,0,False
2025-06-16 07:15:00,106862.03,80.27889600979007,0.0,37.45764515235195,1.0281472084598182,0.1826046164385984,24.528954118904256,44.74554922640186,0.5084075976046711,1.1134062579342352,7,0,False
2025-07-06 13:15:00,108461.53,87.76586546775009,0.0,61.358160815175665,2.3594301201264556,0.07077097816551448,37.71540155847991,43.57773379671847,0.37426180183870267,0.361816734157282,13,6,False
2025-08-17 04:15:00,117771.37,86.07632093933444,0.0,39.01202813553172,1.3503363156754262,0.09488541836853662,17.810178272755515,28.21867205858399,0.25170913470740464,0.17690199801813222,4,6,False
2025-09-09 05:30:00,111981.9,81.99630003363575,0.0,117.10731823625065,0.47696659993584406,0.169811881588517,3.289112839974069,46.575196953673085,0.32111349493888663,0.028561519702452052,5,1,False
2025-12-07 12:15:00,90945.17,87.95921133888629,0.0,89.59574213781795,0.7602457436084414,0.5542476071807096,165.40478176080902,249.0302910710145,1.8497222224664136,1.8102875271856036,12,6,False
