feature,dataset,q1_best_mfe,q4_best_mfe,q4_q1_ratio,q4_q1_diff,q1_long_mfe,q4_long_mfe,q1_short_mfe,q4_short_mfe
atr_pct,TRAIN,42.85980619329204,171.69206275703723,4.005899186354899,128.8322565637452,23.56997194452167,90.39098501057094,24.36710700082042,94.84304241211396
atr_pct,OOS,40.376231653809896,111.79367422359016,2.7687991088945845,71.41744256978026,22.0814872799834,64.12688273859489,22.15232639419073,62.90976676978592
atr_percentile,TRAIN,70.95483122868146,120.8746734640677,1.7035439500165788,49.91984223538624,35.413764170584315,59.99858177083996,35.875190814435854,65.40226521698534
atr_percentile,OOS,45.11114057464201,100.7164357851122,2.2326288917138837,55.60529521047019,24.816650117353703,56.34243485550245,23.54196427173001,54.38447774113801
ema_separation,TRAIN,63.3093089380767,139.92696425743958,2.2102115250429155,76.61765531936288,32.32427497714968,74.31275096412294,31.614241052491934,74.82163564419116
ema_separation,OOS,61.981064099676814,91.52223788189733,1.4766161118936734,29.54117378222051,30.49880099126014,51.6349749960207,31.521264514884127,48.27343093808297
range_bps,TRAIN,48.02435444747036,161.6537402850816,3.366078360551426,113.62938583761124,25.353887303782148,85.48229801966757,26.671999012528953,88.8592471814607
range_bps,OOS,43.67649030962994,112.47678979908444,2.5752250009494277,68.8002994894545,22.833350687386115,61.90963131164477,23.500385820919362,61.292684058056196
body_bps,TRAIN,65.1172079780217,140.90985382195677,2.1639418856766177,75.79264584393508,32.8302813928037,76.43196491334102,34.02324855480154,76.09650667877301
body_bps,OOS,57.083361626109635,99.1180335183393,1.7363734491944012,42.03467189222967,31.477414623517937,55.806218952445995,29.269891018562944,51.17989387163718
dist_from_high20_pct,TRAIN,64.0211733728431,143.6276647255377,2.243440055199966,79.6064913526946,30.681341117330817,78.01852036328934,34.105275415946195,74.89032943058749
dist_from_high20_pct,OOS,57.29258147834152,95.51020097966459,1.6670605253800719,38.21761950132307,28.34155381814994,52.0315282064719,31.163833352417917,54.05631569026211
hour_utc,TRAIN,77.044138266328,93.86369788711059,1.2183106982472869,16.819559620782584,38.34122347611877,50.97754910596272,39.32262975114627,49.75623766695544
hour_utc,OOS,61.15313762680633,71.50475966945292,1.169273768188617,10.351622042646596,30.697360493119156,38.00727574829466,31.00639135807374,37.662541140551674
volume_ratio,TRAIN,85.68681282886725,102.7034323548254,1.1985908795551021,17.01661952595815,46.12231264430231,51.519429110755055,44.87160034013182,52.045117692034694
volume_ratio,OOS,64.07141458233352,79.84900119476447,1.2462500120417401,15.777586612430952,37.22631237190869,42.24464085852381,33.59136990366874,41.41206329950369
