feature,dataset,q1_up_pct,q4_up_pct,spread,abs_spread,direction,q1_n,q4_n
rsi,TRAIN,57.11654983961031,49.62566844919786,-7.490881390412447,7.490881390412447,BEARISH,35024,35024
rsi,OOS,53.417827967323404,49.04026642446261,-4.377561542860796,4.377561542860796,BEARISH,17483,17483
rsi7,TRAIN,57.585352011708835,49.21440946293088,-8.370942548777954,8.370942548777954,BEARISH,35024,35024
rsi7,OOS,53.94155726299231,48.55631876481673,-5.385238498175582,5.385238498175582,BEARISH,17483,17483
rsi21,TRAIN,56.519296170338606,50.036933077264,-6.4823630930746035,6.4823630930746035,BEARISH,35024,35024
rsi21,OOS,53.515648375321646,49.505845486320354,-4.009802889001293,4.009802889001293,BEARISH,17483,17483
roc5,TRAIN,58.36619556144037,50.57623602627637,-7.789959535164002,7.789959535164002,BEARISH,35024,35024
roc5,OOS,53.96565821749796,49.54031738595772,-4.42534083154024,4.42534083154024,BEARISH,17483,17483
roc10,TRAIN,57.58813042728161,51.20027632260664,-6.387854104674972,6.387854104674972,BEARISH,35024,35024
roc10,OOS,53.53246601715186,50.42645168828134,-3.106014328870522,3.106014328870522,BEARISH,17483,17483
roc20,TRAIN,57.11081073308216,51.975954901058444,-5.134855832023717,5.134855832023717,BEARISH,35024,35024
roc20,OOS,52.93707512637267,50.42675084765579,-2.5103242787168796,2.5103242787168796,BEARISH,17483,17483
momentum5,TRAIN,57.61749704636486,50.90552543545969,-6.711971610905174,6.711971610905174,BEARISH,35026,35021
momentum5,OOS,53.94736842105263,49.24880692865139,-4.6985614924012395,4.6985614924012395,BEARISH,17483,17483
momentum10,TRAIN,57.22881160755412,51.09262085048801,-6.13619075706611,6.13619075706611,BEARISH,35024,35024
momentum10,OOS,53.518073700861216,50.20881124639727,-3.3092624544639477,3.3092624544639477,BEARISH,17485,17482
ema9_dist_pct,TRAIN,58.62822318682266,50.23743056954557,-8.390792617277086,8.390792617277086,BEARISH,35024,35024
ema9_dist_pct,OOS,54.06447091800981,49.62300543573558,-4.441465482274232,4.441465482274232,BEARISH,17483,17483
ema20_dist_pct,TRAIN,57.75978407557355,50.69492304158052,-7.064861033993026,7.064861033993026,BEARISH,35024,35024
ema20_dist_pct,OOS,53.76381617219314,50.34374271731531,-3.42007345487783,3.42007345487783,BEARISH,17483,17483
ema50_dist_pct,TRAIN,57.058231488138034,51.93030798817417,-5.127923499963863,5.127923499963863,BEARISH,35024,35024
ema50_dist_pct,OOS,53.499971002725744,50.14567066775434,-3.3543003349714056,3.3543003349714056,BEARISH,17483,17483
ema100_dist_pct,TRAIN,56.03699115554147,52.37411311866257,-3.662878036878901,3.662878036878901,BEARISH,35024,35024
ema100_dist_pct,OOS,52.901202300052276,50.183512962423535,-2.717689337628741,2.717689337628741,BEARISH,17483,17483
ema200_dist_pct,TRAIN,55.0767807050522,52.93238270469182,-2.1443980003603826,2.1443980003603826,BEARISH,35024,35024
ema200_dist_pct,OOS,52.91134813778633,50.6736176194939,-2.237730518292423,2.237730518292423,BEARISH,17483,17483
sma200_dist_pct,TRAIN,54.91741524195886,53.09196693453152,-1.8254483074273367,1.8254483074273367,BEARISH,34980,34979
sma200_dist_pct,OOS,52.727910648500085,50.37037037037037,-2.3575402781297186,2.3575402781297186,BEARISH,17483,17483
ema20_slope,TRAIN,56.63014407730136,51.963659364038875,-4.666484713262484,4.666484713262484,BEARISH,35024,35024
ema20_slope,OOS,53.251890634089584,50.834208377085524,-2.41768225700406,2.41768225700406,BEARISH,17483,17483
ema50_slope,TRAIN,55.96681740933837,52.92799264410092,-3.0388247652374503,3.0388247652374503,BEARISH,35024,35024
ema50_slope,OOS,52.67157858095957,50.758194331039306,-1.913384249920263,1.913384249920263,BEARISH,17483,17483
ema200_slope,TRAIN,54.79931707034754,53.65993904893336,-1.1393780214141813,1.1393780214141813,BEARISH,35024,35024
ema200_slope,OOS,52.59531733520173,50.77148723965973,-1.8238300955420002,1.8238300955420002,BEARISH,17483,17483
bb_position,TRAIN,56.84113593155894,49.67407804268238,-7.167057888876556,7.167057888876556,BEARISH,35024,35024
bb_position,OOS,53.660004815795816,49.39028089546806,-4.269723920327756,4.269723920327756,BEARISH,17483,17483
range_position,TRAIN,56.47422118615846,48.907913843175216,-7.566307342983244,7.566307342983244,BEARISH,35024,35024
range_position,OOS,53.6337924249877,49.19904253360339,-4.434749891384314,4.434749891384314,BEARISH,17483,17483
